feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
45780|Adams Branch|Stream|Arkansas|05|Union|139|Wesson SW|04/30/1980|||||330017N|0925325W|33.0045846|-92.89016|330218N|0925304W|33.0383333|-92.8844444
46267|Beaver Creek|Stream|Louisiana|22|Union|111|Lillie|06/04/1980|||||325941N|0924054W|32.9945834|-92.6815446|330223N|0924633W|33.0398607|-92.7757147
46336|Beene Creek|Stream|Arkansas|05|Columbia|027|Emerson SE|04/30/1980|06/28/2010||||330213N|0930104W|33.036838|-93.017807|330040N|0930440W|33.0111111|-93.0777778
46797|Boggs Creek|Stream|Arkansas|05|Lafayette|073|Bradley|04/30/1980|06/10/2015||||330114N|0933809W|33.0206905|-93.6357309|325735N|0934047W|32.9596055|-93.679805
47143|Buckhorn Slough|Stream|Arkansas|05|Union|139|Felsenthal Dam|04/30/1980|||||330305N|0920722W|33.0515151|-92.1229127|330010N|0921029W|33.0029063|-92.1748582
47306|Camp Bayou|Stream|Louisiana|22|Morehouse|067|Fiske|06/04/1980|||||325610N|0912848W|32.9362387|-91.4801176|330650N|0913256W|33.1138889|-91.5488889
47387|Caney Bayou|Stream|Arkansas|05|Chicot|017|Empire|04/30/1980|||||330144N|0912440W|33.0290134|-91.4112271|331231N|0911800W|33.2087306|-91.3001139
47720|Chemin-A-Haut Bayou|Stream|Louisiana|22|Morehouse|067|Twin Oaks|04/30/1980|07/10/2015||||325422N|0914950W|32.9062412|-91.8306823|332057N|0914551W|33.3492524|-91.7642117
48060|Cornish Branch|Stream|Arkansas|05|Lafayette|073|Bradley|04/30/1980|06/28/2010||||330212N|0934433W|33.036801|-93.742399|330039N|0934244W|33.010833|-93.712222
48174|Crooked Creek|Stream|Louisiana|22|Webster|119|Cullen|06/04/1980|||||325954N|0932350W|32.9984701|-93.3971155|331407N|0932957W|33.2354064|-93.4990642
48311|Cypress Creek|Stream|Louisiana|22|Webster|119|Cullen|06/04/1980|||||325659N|0932304W|32.9498607|-93.3843376|330231N|0931113W|33.0420813|-93.1868327
48567|Dooley Creek|Stream|Arkansas|05|Lafayette|073|Carterville|04/30/1980|06/10/2015||||325955N|0933426W|32.9987468|-93.5737856|330842N|0933908W|33.145114|-93.652149
48635|Dry Creek|Stream|Louisiana|22|Claiborne|027|Summerfield|04/30/1980|06/28/2010|Official|Board Decision|01/01/1972|325854N|0924745W|32.9817|-92.79572|330131N|0924936W|33.0251392|-92.8265484
48654|Dry Fork|Stream|Arkansas|05|Lafayette|073|Doddridge SE|04/30/1980|04/21/2015||||330104N|0934607W|33.0177891|-93.768517|330538N|0934722W|33.0938889|-93.7894444
50107|Hill Bayou|Stream|Louisiana|22|West Carroll|123|Kilbourne|04/30/1980|06/28/2010||||325619N|0911818W|32.938638|-91.304884|330447N|0911618W|33.079838|-91.27171
50442|Hurricane Creek|Stream|Arkansas|05|Ashley|003|Berlin|04/30/1980|||||330310N|0914538W|33.0529035|-91.7606813|330015N|0914152W|33.0042936|-91.6979013
50795|Kelly Bayou|Stream|Louisiana|22|Caddo|017|Wardview|04/30/1980|06/29/2010||||325905N|0935214W|32.9848576|-93.8704564|330152N|0935152W|33.031207|-93.864312
51227|Little Cornie Bayou|Stream|Louisiana|22|Union|111|Lillie|04/30/1980|04/24/2015||||325355N|0923742W|32.8984738|-92.6282076|330549N|0930717W|33.0970795|-93.1212758
51228|Little Cornie Bayou|Stream|Arkansas|05|Union|139|Junction City|04/30/1980|||||330000N|0924059W|33.0001388|-92.6829337|331237N|0924321W|33.2104082|-92.7223812
51670|Mark Beach Bayou|Stream|Arkansas|05|Union|139|Gardner|04/30/1980|||||330000N|0922340W|33.0001328|-92.3943109|330130N|0922329W|33.025|-92.3913889
51712|Martin Creek|Stream|Louisiana|22|Bossier|015|Carterville|04/30/1980|04/22/2015||||325840N|0933152W|32.9779143|-93.5310074|330002N|0934106W|33.0006536|-93.6851317
52000|Mill Creek|Stream|Louisiana|22|Union|111|Lillie|06/04/1980|||||325929N|0924009W|32.9915277|-92.6690441|330134N|0923722W|33.0262477|-92.6226536
53103|Overflow Creek|Stream|Louisiana|22|Morehouse|067|Bonita|04/30/1980|07/10/2015||||325847N|0914157W|32.979724|-91.69904|331716N|0913534W|33.287896|-91.5929011
53722|Posten Bayou|Stream|Louisiana|22|Bossier|015|Wardview|04/30/1980|07/26/2010||||325857N|0934714W|32.9826357|-93.7871217|330906N|0934314W|33.15171|-93.72059
54799|Shiloh Creek|Stream|Louisiana|22|Morehouse|067|Fish Lake|04/30/1980|08/07/2009||||325632N|0920440W|32.9423513|-92.077911|330124N|0915344W|33.0234591|-91.8956844
54971|Snake Creek|Stream|Louisiana|22|Morehouse|067|Beekman|04/30/1980|07/26/2010||||325828N|0915852W|32.974342|-91.981015|330715N|0915611W|33.120956|-91.9365198
55078|Spring Branch|Stream|Arkansas|05|Columbia|027|Macedonia|04/30/1980|||||330738N|0931841W|33.1273551|-93.3112803|311028N|0931814W|31.1743523|-93.3037775
55179|State Line Creek|Stream|Louisiana|22|Caddo|017|McLeod|06/04/1980|||||325810N|0940131W|32.9695797|-94.0251815|330759N|0940353W|33.1331866|-94.0646285
55224|Stillhouse Bayou|Stream|Arkansas|05|Lafayette|073|Doddridge SE|04/30/1980|03/15/2007||||330113N|0934541W|33.0202|-93.7614|325748N|0934506W|32.9632|-93.7516
55295|Sugar Creek|Stream|Louisiana|22|Claiborne|027|Summerfield|04/30/1980|07/26/2010||||325638N|0924709W|32.94384|-92.78589|330255N|0924727W|33.04857|-92.79087
55559|Three Creeks|Stream|Louisiana|22|Claiborne|027|Summerfield|04/30/1980|08/07/2009|Official|Board Decision|01/01/1972|325753N|0924931W|32.9645858|-92.8251587|331110N|0925201W|33.1862428|-92.8668283
56407|Williamson Creek|Stream|Arkansas|05|Ashley|003|Crossett South|04/30/1980|06/10/2015||||330023N|0915851W|33.0065147|-91.980964|330326N|0915527W|33.057101|-91.9242728
56425|Wilson Branch|Stream|Arkansas|05|Union|139|Wesson|04/30/1980|06/10/2015||||330027N|0924849W|33.0073622|-92.8134925|330212N|0924812W|33.0367062|-92.8033216
62451|Maxwell Creek|Stream|Louisiana|22|Morehouse|067|Berlin|05/01/1992|||||330020N|0914800W|33.0056825|-91.8001262|330003N|0915148W|33.0008333|-91.8633333
76253|Bayou Bartholomew|Stream|Louisiana|22|Morehouse|067|Sterlington|04/30/1980|10/29/2010||||324322N|0920350W|32.7229144|-92.0640214|341701N|0921011W|34.28355|-92.1698
76387|Bodcau Creek|Stream|Louisiana|22|Bossier|015|Bodcau Lake|04/30/1980|12/20/2013|Official|Board Decision|01/01/1928|324003N|0933354W|32.6673691|-93.5648975|333910N|0933309W|33.6528948|-93.552399
76391|Boeuf River|Stream|Louisiana|22|Catahoula|025|Harrisonburg|06/04/1980|||||315125N|0914709W|31.8568296|-91.7859613|331949N|0912149W|33.3303946|-91.3637277
77340|Frank Lapere Creek|Stream|Louisiana|22|Union|111|Marion East|04/30/1980|02/01/2018||||325746N|0920950W|32.9628868|-92.1637908|330127N|0921646W|33.024281|-92.279491
78406|South Cypress Creek|Stream|Arkansas|05|Columbia|027|Emerson|04/30/1980|||||330231N|0931113W|33.0420813|-93.1868327|330011N|0930733W|33.0030556|-93.1258333
85273|Dry Bayou|Stream|Louisiana|22|Morehouse|067|Wilmot|06/04/1980|||||330011N|0913223W|33.0031816|-91.5398414|330911N|0913236W|33.1531774|-91.543454
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
532052|Blackland Branch|Stream|Louisiana|22|Sabine|085|Vowells Mill|06/04/1980|||||312951N|0931720W|31.497397|-93.288781|313052N|0931939W|31.5143411|-93.3273932
532053|Bakers Brake|Swamp|Louisiana|22|Franklin|041|Lamar|06/04/1980|||||321959N|0913030W|32.332924|-91.5084522|||0.0|0.0
532054|Boone Creek|Stream|Louisiana|22|Vernon|115|Leesville|06/04/1980|||||311448N|0931928W|31.2465724|-93.3243345|311644N|0932056W|31.2787937|-93.34878
532055|Carter Branch|Stream|Louisiana|22|Bienville|013|Hall Summit|06/04/1980|||||321421N|0931854W|32.239047|-93.314893|321459N|0931904W|32.2497222|-93.3177778
532056|Carter Branch|Stream|Louisiana|22|Bienville|013|Ringgold|06/04/1980|||||321521N|0931845W|32.2557135|-93.3123929|321729N|0932156W|32.2913889|-93.3655556
532057|Cheniere Brake|Swamp|Louisiana|22|Ouachita|073|West Monroe South|06/04/1980|||||322760N|0921317W|32.4665354|-92.2215264|||0.0|0.0
532058|Dupre Cut|Channel|Louisiana|22|Jefferson|051|Three Bayou Bay|06/04/1980|||||293706N|0900457W|29.6182696|-90.0825736|||0.0|0.0
532059|Fleming Canal|Canal|Louisiana|22|Jefferson|051|Bertrandville|06/04/1980|||||294529N|0900444W|29.7579875|-90.0789615|||0.0|0.0
532060|Harpoon Branch|Stream|Louisiana|22|Sabine|085|Many|06/04/1980|||||313648N|0932713W|31.6132275|-93.4535083|314031N|0932817W|31.67517|-93.471287
532061|Jumping Gully Creek|Stream|Louisiana|22|LaSalle|059|Jena West|06/04/1980|||||314315N|0921238W|31.7207263|-92.2106911|314724N|0921403W|31.7898907|-92.2343035
532062|Negro Bayou|Gut|Louisiana|22|Tensas|107|Somerset|06/04/1980|||||321202N|0911440W|32.2004284|-91.244557|||0.0|0.0
532063|Pole Bridge Branch|Stream|Louisiana|22|Tangipahoa|105|Ponchatoula NE|06/04/1980|||||302937N|0902003W|30.4935252|-90.3342516|303156N|0902050W|30.5321353|-90.3473079
532064|Aaron Branch|Stream|Louisiana|22|Tangipahoa|105|Roseland|06/04/1980|||||304909N|0903026W|30.8190723|-90.507316|304911N|0903224W|30.8197222|-90.54
532065|Abbeville Canal|Canal|Louisiana|22|Vermilion|113|Abbeville West|06/04/1980|||||295744N|0921232W|29.962151|-92.2090164|||0.0|0.0
532067|L I and M Canal|Canal|Louisiana|22|Acadia|001|Evangeline|06/04/1980|||||301709N|0923009W|30.2857595|-92.5026356|||0.0|0.0
532068|Aben|Populated Place|Louisiana|22|Ascension|005|Donaldsonville|06/04/1980|06/07/2022||||300629N|0905634W|30.1079768|-90.942876|||0.0|0.0
532072|L I and M Canal|Canal|Louisiana|22|Acadia|001|Evangeline|06/04/1980|||||301948N|0923118W|30.3299256|-92.5218029|||0.0|0.0
532076|Acy|Populated Place|Louisiana|22|Ascension|005|Sorrento|06/04/1980|06/07/2022||||301308N|0904913W|30.2188079|-90.8203734|||0.0|0.0
532083|Adams Creek|Stream|Louisiana|22|Washington|117|Bogalusa West|06/04/1980|||||304651N|0895306W|30.7807427|-89.8850756|304902N|0895555W|30.8172222|-89.9319444
532084|Adams Creek|Stream|Louisiana|22|LaSalle|059|Summerville|06/04/1980|||||314619N|0920852W|31.7718355|-92.1479129|314919N|0920832W|31.8219444|-92.1422222
532086|Addis|Populated Place|Louisiana|22|West Baton Rouge|121|Addis|06/04/1980|06/07/2022||||302114N|0911555W|30.3538043|-91.2653865|||0.0|0.0
532087|Ade Branch|Stream|Louisiana|22|Vernon|115|Dowden Creek|06/04/1980|||||311902N|0932145W|31.3171258|-93.3623919|311843N|0932013W|31.3119444|-93.3369444
532088|Adema Pond|Lake|Louisiana|22|Plaquemines|075|Lake Cuatro Caballo|06/04/1980|12/17/2018||||293754N|0894035W|29.6317954|-89.676346|||0.0|0.0
532090|Adolph Pond|Gut|Louisiana|22|Plaquemines|075|Pass a Loutre West|06/04/1980|||||291421N|0891222W|29.2391101|-89.2061612|||0.0|0.0
532094|Aimwell Spring|Spring|Louisiana|22|LaSalle|059|Nickel|06/04/1980|11/06/2012||||314803N|0920248W|31.8008634|-92.0465744|||0.0|0.0
532098|Albany|Populated Place|Louisiana|22|Livingston|063|Albany|06/04/1980|06/07/2022||||303016N|0903456W|30.5043578|-90.5823138|||0.0|0.0
532100|Alden Bridge|Populated Place|Louisiana|22|Bossier|015|Hughes|06/04/1980|06/07/2022||||324631N|0934313W|32.7751427|-93.720178|||0.0|0.0
532106|Alexis Bay|Lake|Louisiana|22|Plaquemines|075|Venice|06/04/1980|12/17/2018||||291914N|0892016W|29.3204779|-89.3376404|||0.0|0.0
532109|Algiers Canal|Canal|Louisiana|22|Orleans|071|New Orleans East|06/04/1980|||||295456N|0900048W|29.9154825|-90.0134036|||0.0|0.0
532110|Alkali Ditch|Bay|Louisiana|22|Cameron|023|Black Lake|06/04/1980|11/13/2017||||300201N|0932241W|30.0336343|-93.3781305|||0.0|0.0
532112|Allen|Populated Place|Louisiana|22|Natchitoches|069|Allen|06/04/1980|06/07/2022||||315008N|0931719W|31.8354411|-93.2885038|||0.0|0.0
532113|Allen Bay|Bay|Louisiana|22|Plaquemines|075|Empire|06/04/1980|||||292616N|0893317W|29.4377167|-89.5547814|||0.0|0.0
532115|Allen Creek|Stream|Louisiana|22|Winn|127|Winnfield East|06/04/1980|||||315717N|0923233W|31.9546076|-92.5423683|315958N|0923331W|31.9994444|-92.5586111
532118|Alligator Bay|Bay|Louisiana|22|Calcasieu|019|Moss Bluff|06/04/1980|||||301744N|0930943W|30.2954825|-93.1618201|||0.0|0.0
532119|Alligator Bayou|Bay|Louisiana|22|Terrebonne|109|Lake Quitman|06/04/1980|05/25/2023|Official|Board Decision|01/01/1939|291656N|0904444W|29.2821147|-90.7455953|||0.0|0.0
532120|Alligator Bayou|Gut|Louisiana|22|Red River|081|East Point|06/04/1980|||||321032N|0932450W|32.1754368|-93.4137846|||0.0|0.0
532121|Alligator Bayou|Gut|Louisiana|22|Bossier|015|Bossier City|06/04/1980|||||323210N|0933851W|32.5359845|-93.647399|||0.0|0.0
532122|Alligator Bayou|Stream|Louisiana|22|Assumption|007|Amelia|06/04/1980|||||293740N|0910435W|29.6277106|-91.0764887|294126N|0910414W|29.6905556|-91.0705556
532123|Alligator Bayou|Stream|Louisiana|22|Iberville|047|Saint Gabriel|06/04/1980|||||301919N|0910115W|30.3218604|-91.0209355|301755N|0910229W|30.2986111|-91.0413889
532124|Alligator Bayou|Stream|Louisiana|22|West Baton Rouge|121|Lobdell|06/04/1980|||||302436N|0911944W|30.409915|-91.3289983|302719N|0911921W|30.4552778|-91.3225
532125|Alligator Bayou|Stream|Louisiana|22|West Feliciana|125|Port Hudson|06/04/1980|||||304147N|0911913W|30.6962962|-91.3203887|304415N|0912105W|30.7375|-91.3513889
532126|Lake Grand Ecaille|Bay|Louisiana|22|Plaquemines|075|Bay Batiste|06/04/1980|10/21/2022||||292242N|0894839W|29.3784624|-89.8107748|||0.0|0.0
532127|Alligator Bayou|Stream|Louisiana|22|LaSalle|059|Holloway|06/04/1980|||||312711N|0920846W|31.4529562|-92.1462418|312540N|0920838W|31.4277778|-92.1438889
532128|Alligator Bayou|Bay|Louisiana|22|Terrebonne|109|Fourleague Bay|06/04/1980|05/25/2023||||292054N|0911447W|29.3483292|-91.2465243|||0.0|0.0
532129|Alligator Bayou|Stream|Louisiana|22|Concordia|029|Lower Sunk Lake|06/04/1980|||||310822N|0914005W|31.1393443|-91.6681752|310528N|0914139W|31.091012|-91.6942863
532130|Alligator Bayou|Gut|Louisiana|22|West Carroll|123|Pioneer|06/04/1980|||||324013N|0912558W|32.6704131|-91.432894|||0.0|0.0
532131|Alligator Brake|Swamp|Louisiana|22|Ouachita|073|Luna|06/04/1980|12/15/2013||||321818N|0921215W|32.305005|-92.2041256|||0.0|0.0
532132|Alligator Branch|Stream|Louisiana|22|LaSalle|059|Nebo|06/04/1980|||||313206N|0921311W|31.5348984|-92.2198552|313307N|0921216W|31.5519444|-92.2044444
532133|Alligator Branch|Stream|Louisiana|22|Tangipahoa|105|Robert|06/04/1980|||||303723N|0901532W|30.6229666|-90.2589736|303815N|0901649W|30.6374106|-90.2803633
532134|Alligator Creek|Stream|Louisiana|22|Allen|003|Elizabeth|06/04/1980|||||304837N|0924843W|30.8101941|-92.8118157|305247N|0924856W|30.8796367|-92.815427
532135|Alligator Hole|Swamp|Louisiana|22|Caldwell|021|Mason|06/04/1980|12/30/2012||||320051N|0915656W|32.0142253|-91.948905|||0.0|0.0
532136|Alligator Lake|Lake|Louisiana|22|Vermilion|113|Floating Turf Bayou|06/04/1980|03/29/2019||||294329N|0923607W|29.724843|-92.6019469|||0.0|0.0
532137|Alligator Lake|Swamp|Louisiana|22|Madison|065|Fortune Fork|06/04/1980|||||321738N|0911259W|32.2937586|-91.2165006|||0.0|0.0
532138|Alligator Pass|Lake|Louisiana|22|Plaquemines|075|Lake Batola|06/04/1980|12/17/2018||||294319N|0894920W|29.7220396|-89.822184|||0.0|0.0
532139|Alligator Point|Cape|Louisiana|22|Orleans|071|Alligator Point|06/04/1980|||||300140N|0894305W|30.0276999|-89.718114|||0.0|0.0
532140|Alligator Slough|Gut|Louisiana|22|Tensas|107|Newellton|06/04/1980|||||320521N|0911208W|32.0890431|-91.2023337|||0.0|0.0
532141|Alligator Slough|Stream|Louisiana|22|Caddo|017|Gilliam|06/04/1980|||||324908N|0934954W|32.8187521|-93.8315681|325051N|0934915W|32.8475|-93.8208333
532142|Alligators Bayou|Stream|Louisiana|22|Caddo|017|Elm Grove|06/04/1980|||||321753N|0933634W|32.2979349|-93.6093436|321809N|0933723W|32.3025|-93.6230556
532147|Alto|Populated Place|Louisiana|22|Richland|083|Mangham|06/04/1980|06/07/2022||||322128N|0915135W|32.3576468|-91.8598506|||0.0|0.0
532148|Alton Brake|Swamp|Louisiana|22|Concordia|029|Mayna|06/04/1980|||||312639N|0914928W|31.4440647|-91.8245694|||0.0|0.0
532152|American Bay|Bay|Louisiana|22|Plaquemines|075|Happy Jack|06/04/1980|||||293303N|0893918W|29.5507699|-89.6550621|||0.0|0.0
532155|Amite River Diversion Canal|Canal|Louisiana|22|Livingston|063|Sorrento|06/04/1980|||||301407N|0904504W|30.2351966|-90.7512049|||0.0|0.0
532159|Anders Branch|Stream|Louisiana|22|Beauregard|011|Dry Creek|06/04/1980|||||303951N|0930457W|30.6640862|-93.0823786|303937N|0930516W|30.6602778|-93.0877778
532160|Anderson Bay|Bay|Louisiana|22|Plaquemines|075|Empire|06/04/1980|||||292512N|0893301W|29.4199395|-89.5503369|||0.0|0.0
532161|Anderson Canal|Canal|Louisiana|22|Ascension|005|Sorrento|06/04/1980|||||301212N|0904809W|30.2032529|-90.802595|||0.0|0.0
532162|Anderson Canal|Canal|Louisiana|22|Tangipahoa|105|Ponchatoula|06/04/1980|||||302441N|0902704W|30.4113047|-90.4511984|||0.0|0.0
532166|Anderson Island|Island|Louisiana|22|Caddo|017|Shreveport East|06/04/1980|||||322908N|0934231W|32.4854306|-93.7085114|||0.0|0.0
532167|Anderson Pass|Channel|Louisiana|22|Plaquemines|075|Empire|06/04/1980|||||292453N|0893316W|29.4146619|-89.5545036|||0.0|0.0
532168|Andres Pond (historical)|Bay|Louisiana|22|Plaquemines|075|Pilottown|06/04/1980|03/19/2014||||291314N|0891858W|29.2205005|-89.3161637|||0.0|0.0
532169|Andress Cove|Stream|Louisiana|22|Jefferson Davis|053|Lake Arthur|06/04/1980|02/06/2018||||300601N|0923740W|30.1002076|-92.6276402|300808N|0924025W|30.1354854|-92.673475
532172|Andrews Bayou|Gut|Louisiana|22|Tensas|107|Lake Bruin|06/04/1980|||||315708N|0911543W|31.9521027|-91.2620572|||0.0|0.0
532174|Angie|Populated Place|Louisiana|22|Washington|117|Angie|06/04/1980|06/07/2022||||305760N|0894834W|30.9665729|-89.8095208|||0.0|0.0
532176|Ant Branch|Stream|Louisiana|22|Beauregard|011|Boneset Creek|06/04/1980|||||304641N|0931113W|30.7779731|-93.1868274|304534N|0931240W|30.7594444|-93.2111111
532194|Antioch Creek|Stream|Louisiana|22|Livingston|063|Satsuma|06/04/1980|||||303022N|0904613W|30.5060232|-90.7703743|303430N|0904757W|30.575|-90.7991667
532197|Antrim|Populated Place|Louisiana|22|Bossier|015|Plain Dealing|06/04/1980|06/07/2022||||325239N|0934219W|32.8773616|-93.705177|||0.0|0.0
532200|Ararat|Populated Place|Louisiana|22|Calcasieu|019|Moss Bluff|06/04/1980|06/07/2022||||301802N|0931160W|30.300482|-93.1998765|||0.0|0.0
532201|Arbroth|Populated Place|Louisiana|22|West Baton Rouge|121|Walls|06/04/1980|06/07/2022||||303638N|0911908W|30.6104654|-91.3189991|||0.0|0.0
532204|Archibald|Populated Place|Louisiana|22|Richland|083|Mangham|06/04/1980|06/07/2022||||322057N|0914638W|32.3490353|-91.7773484|||0.0|0.0
532209|Ards Creek|Stream|Louisiana|22|Washington|117|Fords Creek|06/04/1980|||||305708N|0894504W|30.9521292|-89.7511853|310001N|0894842W|31.0001834|-89.8117438
532213|Armenco Branch Canal|Canal|Louisiana|22|Iberia|045|New Iberia South|06/04/1980|||||295903N|0915221W|29.9840929|-91.8726187|||0.0|0.0
532214|Armistead|Populated Place|Louisiana|22|Red River|081|Harmon|06/04/1980|06/07/2022||||320020N|0932250W|32.0054394|-93.3804511|||0.0|0.0
532215|Armistead Branch|Stream|Louisiana|22|Bienville|013|Ringgold|06/04/1980|||||322213N|0932101W|32.3701556|-93.3501709|322023N|0932115W|32.3397222|-93.3541667
532219|Arthur Creek|Stream|Louisiana|22|Sabine|085|Toro|06/04/1980|||||311757N|0933119W|31.2990722|-93.5218407|312201N|0933336W|31.3669444|-93.56
532220|Arthur Slough|Gut|Louisiana|22|Livingston|063|French Settlement|06/04/1980|||||301551N|0904509W|30.2640848|-90.752594|||0.0|0.0
532221|Arthur Slough|Stream|Louisiana|22|Livingston|063|Whitehall|06/04/1980|||||301634N|0904421W|30.2760289|-90.7392605|301626N|0904424W|30.2738889|-90.74
532226|Ash Bayou|Gut|Louisiana|22|Red River|081|Clear Lake|06/04/1980|||||321133N|0933044W|32.192381|-93.5121202|||0.0|0.0
532227|Ash Bayou|Stream|Louisiana|22|Natchitoches|069|Natchitoches South|06/04/1980|||||314316N|0930630W|31.7209983|-93.1082202|314403N|0930814W|31.7340535|-93.13711
532228|Ash Brake Bottom|Bend|Louisiana|22|Natchitoches|069|Aloha|06/04/1980|||||313520N|0924918W|31.5887814|-92.821543|||0.0|0.0
532229|Ash Slough|Gut|Louisiana|22|Franklin|041|Winnsboro|06/04/1980|||||320901N|0914355W|32.1501527|-91.7320702|||0.0|0.0
532230|Ash Slough|Lake|Louisiana|22|Richland|083|Dunn|06/04/1980|12/30/2012||||322520N|0913300W|32.4223016|-91.550109|||0.0|0.0
532232|Ashland Canal|Canal|Louisiana|22|Terrebonne|109|Houma|06/04/1980|||||293206N|0904111W|29.534938|-90.6864785|||0.0|0.0
532235|Ashleys Branch|Stream|Louisiana|22|Tangipahoa|105|Spring Creek|06/04/1980|||||305512N|0902936W|30.9199029|-90.4934282|305652N|0902633W|30.9477778|-90.4425
532236|Ashworth Slough|Gut|Louisiana|22|Calcasieu|019|Starks|06/04/1980|||||301921N|0934150W|30.3224272|-93.6971108|||0.0|0.0
532239|Asylum Creek|Stream|Louisiana|22|East Feliciana|037|Jackson|06/04/1980|||||304928N|0911404W|30.8243484|-91.2345535|305011N|0911115W|30.8363889|-91.1875
532240|Athens|Populated Place|Louisiana|22|Claiborne|027|Athens|06/04/1980|06/07/2022||||323902N|0930133W|32.6504281|-93.025717|||0.0|0.0
532243|Attakapas Canal|Populated Place|Louisiana|22|Assumption|007|Napoleonville|06/04/1980|06/07/2022||||295331N|0910528W|29.8918702|-91.0912117|||0.0|0.0
532244|Attakapas Landing|Populated Place|Louisiana|22|Assumption|007|Grassy Lake|06/04/1980|06/07/2022||||295104N|0910611W|29.8510376|-91.1031564|||0.0|0.0
532246|Augusta Canal|Canal|Louisiana|22|Plaquemines|075|Bertrandville|06/04/1980|||||294825N|0900158W|29.8068748|-90.032849|||0.0|0.0
532247|Auguste Bay|Bay|Louisiana|22|Plaquemines|075|Empire|06/04/1980|||||292843N|0893458W|29.4785489|-89.5828379|||0.0|0.0
532249|Austin Branch|Stream|Louisiana|22|Allen|003|Reeves|06/04/1980|||||303327N|0930539W|30.5574212|-93.0940444|303603N|0930556W|30.6008333|-93.0988889
532251|Australia Island Number Onehundred and One|Island|Louisiana|22|Madison|065|Cane Bayou|06/04/1980|||||323002N|0905950W|32.5004176|-90.9973283|||0.0|0.0
532252|Austrian Bayou|Bay|Louisiana|22|Terrebonne|109|Cocodrie|06/04/1980|05/25/2023||||290840N|0904157W|29.144562|-90.6991215|||0.0|0.0
532253|Avery Canal|Bay|Louisiana|22|Iberia|045|Tigre Lagoon|06/04/1980|11/29/2018|Official|Board Decision|01/01/1942|295012N|0915514W|29.8366775|-91.9204236|||0.0|0.0
532256|Avoca Island Cutoff|Bay|Louisiana|22|Terrebonne|109|Morgan City SW|06/04/1980|02/07/2019||||293316N|0911237W|29.554338|-91.2102698|||0.0|0.0
532257|Avondale Canal|Canal|Louisiana|22|Jefferson|051|New Orleans West|06/04/1980|||||295358N|0901152W|29.8993726|-90.1978535|||0.0|0.0
532258|Avondale Homes Number One Canal|Canal|Louisiana|22|Jefferson|051|New Orleans West|06/04/1980|||||295324N|0901230W|29.8899285|-90.2084093|||0.0|0.0
532259|Avondale Homes Number Two Canal|Canal|Louisiana|22|Jefferson|051|New Orleans West|06/04/1980|||||295329N|0901253W|29.8913173|-90.2147984|||0.0|0.0
532260|Avondale Outflow Canal|Canal|Louisiana|22|Jefferson|051|Lake Cataouatche East|06/04/1980|||||295225N|0901308W|29.8735401|-90.2189652|||0.0|0.0
532261|Avrico Canal|Canal|Louisiana|22|Vermilion|113|Wright|06/04/1980|||||300118N|0922616W|30.0215956|-92.4379115|||0.0|0.0
532262|Babin Canal|Canal|Louisiana|22|Ascension|005|Sorrento|06/04/1980|||||301454N|0905048W|30.2482516|-90.8467633|||0.0|0.0
532263|Back Levee Canal|Bay|Louisiana|22|Plaquemines|075|Happy Jack|06/04/1980|12/13/2018||||293257N|0894421W|29.5491665|-89.7390569|||0.0|0.0
532264|Back Ridge|Ridge|Louisiana|22|Vermilion|113|Pecan Island|06/04/1980|01/16/2020||||293848N|0922610W|29.6467146|-92.4360118|||0.0|0.0
532265|Back Ridge|Ridge|Louisiana|22|Cameron|023|Cameron|06/04/1980|01/16/2020||||294838N|0931726W|29.810493|-93.2904244|||0.0|0.0
532266|Back Ridge|Ridge|Louisiana|22|Cameron|023|Browns Lake|06/04/1980|01/16/2020||||295247N|0932800W|29.8796808|-93.466712|||0.0|0.0
532267|Bacon Run|Stream|Louisiana|22|LaSalle|059|Nebo|06/04/1980|||||313042N|0920934W|31.5115655|-92.1595761|313128N|0921000W|31.5244444|-92.1666667
532268|Bacons Branch|Stream|Louisiana|22|Ouachita|073|Cadeville|06/04/1980|||||322920N|0921543W|32.4887574|-92.2620829|322842N|0921520W|32.4783333|-92.2555556
532269|Badeaux Coulee|Stream|Louisiana|22|Iberia|045|Delcambre|06/04/1980|||||295803N|0915400W|29.9674267|-91.9001195|295848N|0915329W|29.98|-91.8913889
532272|Bagley Island|Island|Louisiana|22|Bossier|015|Shreveport East|06/04/1980|||||322528N|0934055W|32.424321|-93.6818444|||0.0|0.0
532275|Baie Chevreuil|Bay|Louisiana|22|Lafourche|057|Lac des Allemands|06/04/1980|||||295256N|0903651W|29.8821509|-90.6142545|||0.0|0.0
532276|Bailey Bayou|Stream|Louisiana|22|De Soto|031|Bayou Pierre Lake|06/04/1980|||||320402N|0933025W|32.0671056|-93.5068434|320217N|0933037W|32.0380556|-93.5102778
