feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
205015|Continental Divide|Ridge|Colorado|08|Grand|049|Independence Pass|10/13/1978|04/09/2013||||390001N|1063550W|39.00027|-106.5972536|||0.0|0.0
371175|Big Jimmy Creek|Stream|Idaho|16|Caribou|029|Chesterfield Reservoir|06/21/1979||Official|Board Decision|01/01/1982|425957N|1115932W|42.9990841|-111.9921857|425958N|1120256W|42.9993614|-112.0488544
371176|Catherine Creek|Stream|Idaho|16|Owyhee|073|Castle Butte|06/21/1979|||||430415N|1161658W|43.0707224|-116.2828834|430246N|1162335W|43.0459986|-116.3931657
371177|Cook-Koster Lateral|Canal|Idaho|16|Bonneville|019|Idaho Falls North|06/21/1979|02/10/2020||||433353N|1120041W|43.5645893|-112.0114682|||0.0|0.0
371178|Dairy Creek|Stream|Idaho|16|Camas|025|Fairfield|06/21/1979|||||431547N|1145028W|43.2629558|-114.841173|431301N|1145831W|43.2168439|-114.9753438
371179|Guinn Canyon|Valley|Idaho|16|Cassia|031|Rupert SE|06/21/1979|08/30/2021||||423053N|1133046W|42.5148166|-113.5127167|422932N|1132837W|42.4922878|-113.4769043
371181|Teakettle Butte|Summit|Idaho|16|Butte|023|Quaking Aspen Butte|06/21/1979|08/30/2021||||432948N|1131015W|43.4967813|-113.1708636|||0.0|0.0
371182|A 1 Canal|Canal|Idaho|16|Minidoka|067|Rupert SE|06/21/1979|||||423624N|1133626W|42.6065757|-113.6072315|||0.0|0.0
371183|A Canal|Canal|Idaho|16|Jerome|053|Milner|06/21/1979|||||423040N|1140643W|42.5110242|-114.1119728|||0.0|0.0
371184|A Drain|Canal|Idaho|16|Canyon|027|Caldwell|06/21/1979|||||433957N|1163913W|43.6657165|-116.6537472|||0.0|0.0
371185|A-3 Canal|Canal|Idaho|16|Minidoka|067|Rupert|06/21/1979|||||423539N|1134115W|42.5940757|-113.6875128|||0.0|0.0
371186|A-4 Canal|Canal|Idaho|16|Minidoka|067|Rupert|06/21/1979|||||423245N|1133914W|42.5457426|-113.6538997|||0.0|0.0
371187|A-5 Canal|Canal|Idaho|16|Minidoka|067|Rupert|06/21/1979|||||423236N|1134132W|42.5432425|-113.6922347|||0.0|0.0
371188|Abercombie Ridge|Ridge|Idaho|16|Idaho|049|Joseph|06/21/1979|08/30/2021||||454910N|1162845W|45.819319|-116.4792975|||0.0|0.0
371189|Aberdeen Springfield Canal|Canal|Idaho|16|Bingham|011|Rockford|06/21/1979|06/04/2008||||431257N|1123003W|43.2158333|-112.5008333|||0.0|0.0
371190|Ace Lateral|Canal|Idaho|16|Bingham|011|Moreland|06/21/1979|||||430924N|1122355W|43.1565816|-112.3985899|||0.0|0.0
371191|Ace Spring|Spring|Idaho|16|Owyhee|073|Pixley Basin|06/21/1979|06/06/2017||||424815N|1162234W|42.8040548|-116.3762218|||0.0|0.0
371193|Agency Canal|Canal|Nevada|32|Elko|007|The Point|12/12/1980|||||415909N|1160740W|41.9857337|-116.1278778|||0.0|0.0
371194|Agency Lateral|Canal|Idaho|16|Bingham|011|Fort Hall|06/21/1979|||||430132N|1122538W|43.0254705|-112.4272015|||0.0|0.0
371199|Albert Spring|Spring|Idaho|16|Owyhee|073|Dickshooter Reservoir|06/21/1979|06/06/2017||||422401N|1163609W|42.4003481|-116.6025988|||0.0|0.0
371201|Alder Creek|Stream|Idaho|16|Caribou|029|Thatcher Hill|06/21/1979|||||422738N|1114625W|42.4604765|-111.7735623|422624N|1115138W|42.44|-111.8605556
371202|Alder Creek|Stream|Idaho|16|Shoshone|079|Osburn|06/21/1979|||||473531N|1155616W|47.591871|-115.9376651|473427N|1155956W|47.5741667|-115.9988889
371203|Alder Creek|Stream|Idaho|16|Owyhee|073|Antelope Spring|06/21/1979|||||425344N|1162609W|42.8954427|-116.4359456|425123N|1163116W|42.8562747|-116.5212272
371204|Aldridge Canyon|Valley|Idaho|16|Oneida|071|Samaria|06/21/1979|08/30/2021||||420449N|1121938W|42.0802547|-112.3272562|420352N|1122026W|42.0643553|-112.340547
371205|Alibi Spring|Spring|Idaho|16|Owyhee|073|Toy Pass|06/21/1979|07/10/2017||||425531N|1163048W|42.9251636|-116.5134487|||0.0|0.0
371206|Alkali Creek|Stream|Idaho|16|Owyhee|073|Rooster Comb Peak|06/21/1979|||||431416N|1164518W|43.2376586|-116.7551276|431216N|1164855W|43.2044444|-116.8152778
371207|Alkali Creek|Stream|Idaho|16|Boise|015|Pearl|06/21/1979|03/27/2015||||434928N|1161516W|43.8245529|-116.2545559|435011N|1161551W|43.8364597|-116.2642975
371209|Alkali Creek|Stream|Idaho|16|Payette|075|Sheep Ridge|06/21/1979|||||440649N|1163857W|44.1134992|-116.6490366|440552N|1163452W|44.0976662|-116.5809775
371210|Alkali Drain|Canal|Idaho|16|Canyon|027|Parma|06/21/1979|||||434551N|1165931W|43.7640502|-116.9918219|||0.0|0.0
371211|Alkali Draw|Valley|Idaho|16|Owyhee|073|Swisher Mountain|06/21/1979|08/30/2021||||430609N|1165937W|43.1024931|-116.9936748|430411N|1165853W|43.069589|-116.9815016
371212|Alkali Flat|Flat|Idaho|16|Bingham|011|Lincoln Peak|06/21/1979|||||430138N|1120024W|43.0271396|-112.006631|||0.0|0.0
371213|Alkali Spring|Spring|Idaho|16|Owyhee|073|Opalene Gulch|06/21/1979|07/10/2017||||432615N|1165110W|43.4373792|-116.8526391|||0.0|0.0
371214|Alkire Creek|Stream|Idaho|16|Idaho|049|Savage Ridge|06/21/1979|||||462556N|1143442W|46.4321434|-114.5784405|462653N|1143521W|46.4480556|-114.5891667
371215|Allen Drain|Stream|Idaho|16|Canyon|027|Adrian|06/21/1979|||||434116N|1170108W|43.6876596|-117.0187661|434116N|1170108W|43.6876596|-117.0187661
371216|Allen Lateral|Canal|Idaho|16|Canyon|027|Notus|06/21/1979|||||434059N|1165145W|43.6829377|-116.8623688|||0.0|0.0
371217|Allens Branch|Canal|Idaho|16|Bingham|011|Idaho Falls South|06/21/1979|||||432432N|1120514W|43.4088036|-112.0871938|||0.0|0.0
371218|Alley Gulch|Valley|Idaho|16|Payette|075|Sheep Ridge|06/21/1979|08/30/2021||||440512N|1164029W|44.086789|-116.6748527|440458N|1163845W|44.0828605|-116.6457416
371219|Alliance Canal|Canal|Idaho|16|Jefferson|051|Rigby|06/21/1979|||||433928N|1115522W|43.6576898|-111.922746|||0.0|0.0
371222|Alto Spring|Spring|Idaho|16|Owyhee|073|Bedstead Ridge|06/21/1979|07/13/2018||||422834N|1165245W|42.4761569|-116.8792298|||0.0|0.0
371223|American Bar|Bar|Idaho|16|Idaho|049|Moughmer Point|06/21/1979|10/30/2018||||455449N|1162539W|45.9134907|-116.4273673|||0.0|0.0
371224|American Ridge|Ridge|Idaho|16|Latah|057|Troy|06/21/1979|08/30/2021||||464333N|1164611W|46.7259017|-116.7698282|||0.0|0.0
371227|Ammon Extension Canal|Canal|Idaho|16|Bonneville|019|Ammon|06/21/1979|01/27/2020||||432935N|1115828W|43.4929543|-111.9743265|||0.0|0.0
371228|Ammon Lateral|Canal|Idaho|16|Bonneville|019|Ucon|06/21/1979|||||433045N|1115752W|43.5124138|-111.9644136|||0.0|0.0
371230|Amos Bench|Beach|Idaho|16|Nez Perce|069|Lenore|06/21/1979|||||463008N|1163529W|46.5021164|-116.5912598|||0.0|0.0
371232|Anderson Canal|Canal|Idaho|16|Bonneville|019|Rigby SE|06/21/1979|||||433620N|1115109W|43.6054686|-111.8524661|||0.0|0.0
371233|D H Canyon|Valley|Idaho|16|Oneida|071|Samaria|06/21/1979|08/30/2021|Official|Board Decision|01/01/1984|420610N|1122151W|42.1027089|-112.3640722|420419N|1122327W|42.0719873|-112.3908262
371234|Anderson Creek|Stream|Idaho|16|Gem|045|Northeast Emmett|06/21/1979|||||435521N|1162307W|43.9223884|-116.3854096|435210N|1161837W|43.8693328|-116.3104056
371235|Anderson Lateral|Canal|Idaho|16|Bonneville|019|Idaho Falls North|06/21/1979|||||433009N|1120409W|43.5024134|-112.0691385|||0.0|0.0
371236|D H Spring|Spring|Idaho|16|Oneida|071|Grover Canyon|06/21/1979|12/20/2019|Official|Board Decision|01/01/1984|420456N|1122327W|42.0821696|-112.3907218|||0.0|0.0
371237|Andrews Canyon|Valley|Idaho|16|Idaho|049|Moughmer Point|06/21/1979|08/30/2021||||455442N|1162528W|45.9115557|-116.4243228|455333N|1162630W|45.8925373|-116.4415946
371238|Andrews Ditch|Canal|Idaho|16|Canyon|027|Wilder|06/21/1979|||||434435N|1165323W|43.7429387|-116.889594|||0.0|0.0
371239|Andrews Lateral|Canal|Idaho|16|Ada|001|Meridian|06/21/1979|||||433203N|1162759W|43.5340522|-116.466514|||0.0|0.0
371240|Andrews Spring Creek|Stream|Idaho|16|Benewah|009|Tensed|06/21/1979|||||471049N|1165735W|47.1801765|-116.9596158|470814N|1170103W|47.137119|-117.0173939
371241|Angel Ridge|Ridge|Idaho|16|Nez Perce|069|Peck|06/21/1979|||||462842N|1162944W|46.4782295|-116.4954241|||0.0|0.0
371243|Angelo Ditch|Canal|Idaho|16|Custer|037|Darlington|06/21/1979|||||435209N|1132744W|43.8690712|-113.4622362|||0.0|0.0
371244|Angleworm Spring|Spring|Idaho|16|Owyhee|073|Turner Table|06/21/1979|06/06/2017||||422848N|1161000W|42.479894|-116.1667714|||0.0|0.0
371246|Anne Valley|Valley|Idaho|16|Owyhee|073|Slack Mountain|06/21/1979|08/30/2021||||423551N|1163909W|42.5975672|-116.6525364|423658N|1163925W|42.6161791|-116.6568718
371247|Annie Gulch|Valley|Idaho|16|Idaho|049|Joseph|06/21/1979|08/30/2021||||454524N|1162810W|45.7566855|-116.469401|454616N|1162728W|45.7710459|-116.457669
371248|Annis Slough|Stream|Idaho|16|Jefferson|051|Rigby|06/21/1979|||||434459N|1115709W|43.7496328|-111.9524693|434430N|1115441W|43.7416667|-111.9113889
371249|Ant Butte|Summit|Idaho|16|Washington|087|Crane Creek Reservoir|06/21/1979|02/14/2020||||441920N|1163614W|44.3223494|-116.6040056|||0.0|0.0
371250|Ant Hill|Summit|Idaho|16|Owyhee|073|Clover Mountain|06/21/1979|02/14/2020||||424055N|1162813W|42.6820346|-116.4701867|||0.0|0.0
371252|Antelope Basin|Basin|Idaho|16|Owyhee|073|Buckhorn|06/21/1979|||||420832N|1155332W|42.1421234|-115.8923155|||0.0|0.0
371253|Antelope Basin|Basin|Idaho|16|Owyhee|073|Dickshooter Reservoir|06/21/1979|||||422918N|1163603W|42.4882218|-116.6009522|||0.0|0.0
371254|Antelope Butte|Summit|Idaho|16|Blaine|013|Sunset Lake|06/21/1979|08/30/2021||||431531N|1130708W|43.2586349|-113.1188134|||0.0|0.0
371255|Antelope Butte|Summit|Idaho|16|Jefferson|051|Antelope Butte|06/21/1979|01/20/2020||||435208N|1123632W|43.8688122|-112.6088093|||0.0|0.0
371256|Antelope Canyon|Valley|Idaho|16|Twin Falls|083|Salmon Butte|06/21/1979|08/30/2021||||421447N|1144448W|42.2464272|-114.746537|421321N|1144707W|42.2224325|-114.7853741
371258|Antelope Flat|Flat|Idaho|16|Owyhee|073|Clover Mountain|06/21/1979|08/03/2012||||423745N|1162255W|42.6290963|-116.3818645|||0.0|0.0
371259|Antelope Flat Reservoir|Reservoir|Idaho|16|Owyhee|073|Big Springs Ranch|06/21/1979|03/20/2019||||423609N|1162300W|42.6024934|-116.3833912|||0.0|0.0
371260|Antelope Lake|Lake|Idaho|16|Blaine|013|Antelope Lake|06/21/1979|04/17/2023||||431437N|1130819W|43.2435619|-113.1387002|||0.0|0.0
371261|Antelope Pocket|Basin|Idaho|16|Twin Falls|083|Roseworth SE|06/21/1979|||||421955N|1144752W|42.3318521|-114.7978253|||0.0|0.0
371262|Antelope Reservoir|Lake|Idaho|16|Lincoln|063|Senter|06/21/1979|04/17/2023||||425540N|1135810W|42.927676|-113.9693987|||0.0|0.0
371263|Antelope Reservoir|Reservoir|Idaho|16|Owyhee|073|Slack Mountain|06/21/1979|03/20/2019||||423057N|1164350W|42.515844|-116.7304562|||0.0|0.0
371264|Antelope Reservoir|Reservoir|Idaho|16|Minidoka|067|Brigham Point|06/21/1979|04/17/2023||||425451N|1132550W|42.9142697|-113.4305142|||0.0|0.0
371265|Antelope Ridge|Ridge|Idaho|16|Owyhee|073|Hurry Up Creek|06/21/1979|05/15/2021||||424328N|1163107W|42.7243692|-116.5185622|||0.0|0.0
371266|Antelope Spring|Spring|Idaho|16|Owyhee|073|Juniper Basin SE|06/21/1979|06/09/2017||||420336N|1162013W|42.0599307|-116.3368395|||0.0|0.0
371267|Antelope Spring|Spring|Idaho|16|Twin Falls|083|Browns Bench North|06/21/1979|07/19/2017||||421321N|1144708W|42.2224253|-114.7856009|||0.0|0.0
371268|Antelope Spring|Spring|Idaho|16|Owyhee|073|Brace Flat|06/21/1979|04/18/2011||||421902N|1163812W|42.3171834|-116.636553|||0.0|0.0
371269|Antelope Spring|Spring|Idaho|16|Owyhee|073|Bull Basin Camp|06/21/1979|07/13/2018||||421917N|1165344W|42.3213063|-116.8955454|||0.0|0.0
371270|Antelope Spring|Spring|Idaho|16|Owyhee|073|Wickahoney Point|06/21/1979|07/10/2017||||422611N|1160223W|42.4362852|-116.0398222|||0.0|0.0
371271|Antelope Spring|Spring|Idaho|16|Owyhee|073|Dickshooter Reservoir|06/21/1979|06/06/2017||||422935N|1163533W|42.4930491|-116.5926264|||0.0|0.0
371272|Antelope Spring|Spring|Idaho|16|Owyhee|073|Triangle Reservoir|06/21/1979|08/30/2018||||424728N|1163513W|42.7909961|-116.5870632|||0.0|0.0
371273|Antelope Spring|Spring|Idaho|16|Owyhee|073|Antelope Spring|06/21/1979|08/30/2018||||425726N|1162458W|42.9571094|-116.416222|||0.0|0.0
371274|Antelope Spring|Spring|Idaho|16|Clark|033|Lidy Hot Springs|06/21/1979|11/08/2019||||441340N|1123633W|44.2276755|-112.6092369|||0.0|0.0
371276|Antelope Valley|Valley|Idaho|16|Cassia|031|Stricker Butte|06/21/1979|||||422449N|1141623W|42.4135255|-114.2730845|422241N|1141642W|42.3780556|-114.2783333
371277|Apex Lateral|Canal|Idaho|16|Bingham|011|Blackfoot|06/21/1979|||||430950N|1122144W|43.1638041|-112.3621999|||0.0|0.0
371280|Arc Lateral|Canal|Idaho|16|Bingham|011|Blackfoot|06/21/1979|||||431029N|1122206W|43.1746373|-112.3683112|||0.0|0.0
371281|Arcadia Canal|Canal|Idaho|16|Fremont|043|Lemon Lake|06/21/1979|||||440520N|1113160W|44.0888025|-111.5332913|||0.0|0.0
371282|Arch Canyon|Valley|Idaho|16|Owyhee|073|The Arch|06/21/1979|||||421410N|1153208W|42.2360155|-115.5356334|420550N|1153348W|42.0971261|-115.5634123
371283|Arena Canal|Canal|Idaho|16|Canyon|027|Wilder|06/21/1979|||||434141N|1165660W|43.6946044|-116.9498737|||0.0|0.0
371284|Arena Case Drain|Canal|Idaho|16|Canyon|027|Adrian|06/21/1979|||||434127N|1170057W|43.6907152|-117.0157104|||0.0|0.0
371285|Arena Lake Drain|Canal|Idaho|16|Canyon|027|Wilder|06/21/1979|||||434245N|1165930W|43.7123825|-116.991543|||0.0|0.0
371286|Arena Valley|Valley|Idaho|16|Canyon|027|Adrian|06/21/1979|06/10/2021||||434123N|1170128W|43.6898465|-117.0244895|434238N|1165710W|43.7104978|-116.9528001
371288|Arimo Ditch|Canal|Idaho|16|Bannock|005|Arimo|06/21/1979|||||423351N|1120940W|42.5640838|-112.1610763|||0.0|0.0
371289|Arkansas Canyon|Valley|Idaho|16|Gem|045|Montour|06/21/1979|08/30/2021||||435354N|1161804W|43.8984422|-116.301193|435220N|1161822W|43.8722349|-116.3061964
371290|Arkansas Creek|Stream|Idaho|16|Bannock|005|Arimo|06/21/1979||Official|Board Decision|01/01/1971|423218N|1121037W|42.5382504|-112.17691|423360N|1120508W|42.5665845|-112.0855179
371292|Armstrong Lateral|Canal|Idaho|16|Bonneville|019|Idaho Falls North|06/21/1979|02/10/2020||||433106N|1120429W|43.5182606|-112.0747786|||0.0|0.0
371293|Arrow Lateral|Canal|Idaho|16|Bingham|011|Blackfoot|06/21/1979|||||431016N|1122218W|43.1710262|-112.3716446|||0.0|0.0
371294|Arrow Point Reservoir|Reservoir|Idaho|16|Owyhee|073|Wickahoney Point|06/21/1979|03/20/2019||||422850N|1160509W|42.4805653|-116.0858418|||0.0|0.0
371295|Arrow Spring|Spring|Idaho|16|Owyhee|073|Captain Butte|06/21/1979|||||430960N|1165512W|43.1665454|-116.9201341|||0.0|0.0
371296|Artillery Creek|Stream|Idaho|16|Valley|085|Artillery Dome|06/21/1979|||||444034N|1150914W|44.6760182|-115.1539909|444019N|1151230W|44.6719444|-115.2083333
371297|Ash Lateral|Canal|Idaho|16|Bingham|011|Blackfoot|06/21/1979|||||430958N|1122219W|43.1660262|-112.3719224|||0.0|0.0
371298|Ashlock Gulch|Valley|Idaho|16|Payette|075|Nyssa|06/21/1979|08/30/2021||||435502N|1165737W|43.9173297|-116.96023|435259N|1165120W|43.8831719|-116.8555752
371299|Aspen Creek|Stream|Idaho|16|Shoshone|079|McGee Peak|06/21/1979|||||471524N|1152860W|47.2565912|-115.4832054|471629N|1152544W|47.2747222|-115.4288889
371301|Aspen Spring|Spring|Idaho|16|Blaine|013|Seamans Creek|06/21/1979|04/18/2011||||432430N|1140741W|43.4082496|-114.1280086|||0.0|0.0
371303|Aspitarte Lake|Lake|Idaho|16|Minidoka|067|Bear Den Butte|06/21/1979|04/17/2023||||430907N|1133553W|43.15205|-113.5981249|||0.0|0.0
371305|Astor Gulch|Valley|Idaho|16|Owyhee|073|Flint|06/21/1979|02/22/2020||||425520N|1164700W|42.922276|-116.7834469|425538N|1164626W|42.927249|-116.7737965
371306|Athol Creek|Stream|Idaho|16|Bonner|017|Orwig Hump|06/21/1979|||||484127N|1170006W|48.6907539|-117.0016122|484008N|1170142W|48.6688889|-117.0283333
371307|Attell Lateral|Canal|Idaho|16|Canyon|027|Wilder|06/21/1979|||||434101N|1165551W|43.6834931|-116.9307057|||0.0|0.0
371308|Auger Falls|Falls|Idaho|16|Twin Falls|083|Jerome|06/21/1979|05/28/2019||||423756N|1143138W|42.6321308|-114.5272635|||0.0|0.0
371309|Augustine Ditch|Canal|Idaho|16|Bingham|011|Moreland|06/21/1979|||||431349N|1122332W|43.2301927|-112.3922011|||0.0|0.0
371310|Austin Butte|Summit|Idaho|16|Owyhee|073|Austin Butte|06/21/1979|02/07/2020||||423430N|1153908W|42.5750879|-115.6522012|||0.0|0.0
371313|Avandale Spring|Spring|Idaho|16|Owyhee|073|Frying Pan Basin|06/21/1979|06/06/2017||||422555N|1162955W|42.4319901|-116.4985361|||0.0|0.0
371314|Aven Lateral|Canal|Idaho|16|Canyon|027|Lake Lowell|06/21/1979|||||433208N|1164208W|43.5354372|-116.7023568|||0.0|0.0
371315|Avery Reservoir|Reservoir|Idaho|16|Owyhee|073|Slack Mountain|06/21/1979|03/20/2019||||423044N|1163948W|42.5121081|-116.66321|||0.0|0.0
371316|Avondale Basin|Basin|Idaho|16|Owyhee|073|Silver City|06/21/1979|08/30/2018||||430326N|1164415W|43.0571039|-116.7376252|||0.0|0.0
371318|B Canal|Canal|Idaho|16|Jerome|053|Milner|06/21/1979|||||423448N|1140303W|42.5799111|-114.050861|||0.0|0.0
371319|B Ditch|Canal|Idaho|16|Jerome|053|Eden|06/21/1979|||||423316N|1140817W|42.5543568|-114.1380843|||0.0|0.0
371320|B Lateral|Canal|Idaho|16|Payette|075|Letha|06/21/1979|||||435540N|1164401W|43.927664|-116.7334791|||0.0|0.0
371321|B Line Canal|Canal|Idaho|16|Owyhee|073|Homedale|06/21/1979|||||433451N|1165538W|43.5807132|-116.9270919|||0.0|0.0
371322|B Main Drain|Canal|Idaho|16|Minidoka|067|Acequia|06/21/1979|||||424314N|1133107W|42.7204637|-113.5186171|||0.0|0.0
371323|B-1 Canal|Canal|Idaho|16|Minidoka|067|Rupert NW|06/21/1979|||||423937N|1133929W|42.6601865|-113.6580676|||0.0|0.0
371324|B-1 Ditch|Canal|Idaho|16|Jerome|053|Eden|06/21/1979|||||423435N|1140856W|42.5763009|-114.1489179|||0.0|0.0
371325|B-4 Canal|Canal|Idaho|16|Minidoka|067|Burley|06/21/1979|||||423536N|1134616W|42.5932424|-113.7711277|||0.0|0.0
371326|Babbington Creek|Stream|Idaho|16|Owyhee|073|Rooster Comb Peak|06/21/1979|||||431402N|1164518W|43.2337697|-116.7551276|431201N|1164912W|43.2002778|-116.82
371327|Baby Creek Spring|Spring|Idaho|16|Custer|037|Short Creek|06/21/1979|04/18/2011||||441025N|1133517W|44.1736228|-113.58805|||0.0|0.0
371328|Bacon Lake|Lake|Idaho|16|Lincoln|063|Wagon Butte|06/21/1979|04/17/2023||||430954N|1134640W|43.1650105|-113.7777892|||0.0|0.0
371330|Badger Reservoir|Reservoir|Idaho|16|Owyhee|073|Buckhorn|06/21/1979|03/20/2019||||421217N|1155532W|42.2047566|-115.925433|||0.0|0.0
371332|Bailey Creek|Stream|Idaho|16|Bear Lake|007|Soda Peak|06/21/1979|||||423643N|1113435W|42.6118659|-111.5763335|423251N|1113715W|42.5475|-111.6208333
371333|Bailing Reservoir|Reservoir|Idaho|16|Lincoln|063|Summit Reservoir|06/21/1979|04/17/2023||||431029N|1142607W|43.1747856|-114.4352423|||0.0|0.0
371334|Bain Canal|Canal|Idaho|16|Bonneville|019|Woodville|06/21/1979|||||432610N|1120754W|43.4360251|-112.1316395|||0.0|0.0
371335|Baird Reservoir|Lake|Idaho|16|Minidoka|067|Laidlaw Butte|06/21/1979|04/17/2023||||431042N|1134144W|43.1782479|-113.6955392|||0.0|0.0
371336|Baker Lateral|Canal|Idaho|16|Bannock|005|Pocatello North|06/21/1979|||||425706N|1122951W|42.9515812|-112.4974815|||0.0|0.0
371337|Bakers Canyon|Valley|Idaho|16|Bingham|011|Lincoln Peak|06/21/1979|||||430128N|1120125W|43.0243616|-112.0235761|430216N|1120442W|43.0377778|-112.0783333
371338|Balanced Rock|Pillar|Idaho|16|Twin Falls|083|Balanced Rock|06/21/1979|03/20/2019||||423254N|1145727W|42.5482386|-114.9575579|||0.0|0.0
371339|Bald Mountain|Summit|Idaho|16|Shoshone|079|Saltese|06/21/1979|01/31/2020||||472254N|1153713W|47.3817666|-115.6202194|||0.0|0.0
371340|Bald Mountain Canyon|Valley|Idaho|16|Owyhee|073|Bull Basin Camp|06/21/1979|02/11/2020||||421716N|1165543W|42.287753|-116.928597|422017N|1165749W|42.3379201|-116.9637057
371341|Bald Mountain Reservoir|Reservoir|Idaho|16|Owyhee|073|Bull Basin Camp|06/21/1979|03/21/2019||||421850N|1165530W|42.3138043|-116.9250784|||0.0|0.0
371342|Bald Mountain Spring|Spring|Idaho|16|Owyhee|073|Snow Creek|06/21/1979|05/31/2017||||424236N|1162101W|42.709889|-116.3503882|||0.0|0.0
371343|Baldwin Lake|Lake|Idaho|16|Blaine|013|Laidlaw Butte|06/21/1979|04/17/2023||||431346N|1134240W|43.2293967|-113.7111666|||0.0|0.0
371344|Baldy Knoll|Summit|Idaho|16|Bingham|011|Baldy Knoll|06/21/1979|02/08/2020||||432008N|1122638W|43.3354625|-112.4438577|||0.0|0.0
371345|Baldy Mountain|Summit|Idaho|16|Bannock|005|Sedgwick Peak|06/21/1979|08/30/2021|Official|Board Decision|01/01/1983|423245N|1115645W|42.5457462|-111.9457788|||0.0|0.0
371346|Ballard Ditch|Canal|Idaho|16|Bingham|011|Buckskin Basin|06/21/1979|||||430148N|1121760W|43.0299155|-112.2999746|||0.0|0.0
371347|Ballentine Canal|Canal|Idaho|16|Ada|001|Eagle|06/21/1979|||||434136N|1162155W|43.6932199|-116.3654029|||0.0|0.0
371348|Bally Mountains|Range|Utah|49|Box Elder|003|Standrod|06/21/1979|03/19/2020||||415815N|1132819W|41.9709073|-113.4718945|||0.0|0.0
371349|Baltic Canyon|Valley|Idaho|16|Gem|045|Montour|06/21/1979|08/30/2021||||435434N|1161913W|43.9095251|-116.3203945|435325N|1161920W|43.8904045|-116.3221224
371350|Banbury Springs|Spring|Idaho|16|Gooding|047|Thousand Springs|06/21/1979|03/27/2019||||424125N|1144913W|42.6901813|-114.8203313|||0.0|0.0
371351|Bancroft Springs|Spring|Idaho|16|Elmore|039|Pasadena Valley|06/21/1979|02/07/2019||||425603N|1150920W|42.9340408|-115.1556467|||0.0|0.0
371352|Banks Island|Island|Idaho|16|Payette|075|Payette|06/21/1979|||||440457N|1165819W|44.0823859|-116.9718286|||0.0|0.0
371353|Banks Spring|Spring|Idaho|16|Owyhee|073|Turner Table|06/21/1979|06/06/2017||||422433N|1160803W|42.4090622|-116.1342703|||0.0|0.0
371354|Banner Creek|Stream|Idaho|16|Washington|087|Midvale|06/21/1979|||||442638N|1164421W|44.4437741|-116.7390507|442257N|1164109W|44.3825|-116.6858333
371356|Banner Reservoir|Reservoir|Idaho|16|Lincoln|063|Owinza|06/21/1979|04/17/2023||||425456N|1140017W|42.9154505|-114.0046199|||0.0|0.0
371357|Bannister Basin|Basin|Idaho|16|Payette|075|Hog Cove Butte|06/21/1979|||||440408N|1163601W|44.0687772|-116.6001441|||0.0|0.0
371358|Bannock Canal|Canal|Idaho|16|Power|077|Wheatgrass Bench|06/21/1979|||||424912N|1123823W|42.819913|-112.6397084|||0.0|0.0
371359|Bannock Drain|Canal|Idaho|16|Power|077|Wheatgrass Bench|06/21/1979|||||425114N|1124053W|42.8538018|-112.6813769|||0.0|0.0
371360|Bannock Jim Slough|Stream|Idaho|16|Madison|065|Menan Buttes|06/21/1979|||||434554N|1115646W|43.7649106|-111.9460805|434228N|1114838W|43.70769|-111.8105208
371361|Bannock Peak|Summit|Idaho|16|Power|077|Bannock Peak|06/21/1979|02/08/2020||||423612N|1124226W|42.6034712|-112.7072606|||0.0|0.0
371362|Bannock Spring|Spring|Idaho|16|Power|077|Bannock Peak|06/21/1979|10/28/2019||||423545N|1124229W|42.5958329|-112.707939|||0.0|0.0
371363|Bannon Spring|Spring|Idaho|16|Blaine|013|Bellevue|06/21/1979|04/18/2011||||432550N|1141814W|43.4305543|-114.3039331|||0.0|0.0
371364|Barbour Creek|Stream|Idaho|16|Twin Falls|083|Taylor Canyon|06/21/1979|||||420047N|1145306W|42.0129652|-114.885045|420120N|1145154W|42.0221318|-114.8650444
371365|Barbour Spring|Spring|Idaho|16|Twin Falls|083|Browns Bench South|06/21/1979|07/19/2017||||420120N|1145154W|42.02228|-114.8650777|||0.0|0.0
371366|Bardsly Gulch Drain|Canal|Idaho|16|Canyon|027|Caldwell|06/21/1979|||||433850N|1164248W|43.6471046|-116.7134714|||0.0|0.0
371367|Bare Hill|Summit|Idaho|16|Owyhee|073|Swisher Mountain|06/21/1979|03/29/2020||||430404N|1165247W|43.067898|-116.8797973|||0.0|0.0
371369|Barnes Creek|Stream|Idaho|16|Cassia|031|Chokecherry Canyon|06/21/1979|||||420528N|1132234W|42.0910271|-113.3761116|415560N|1132453W|41.9332513|-113.4147227
371370|Barrel Spring|Spring|Idaho|16|Owyhee|073|Flint|06/21/1979|07/13/2018||||425707N|1164727W|42.9518257|-116.79096|||0.0|0.0
371371|Barrel Spring|Spring|Idaho|16|Blaine|013|Magic Reservoir West|06/21/1979|04/18/2011||||432013N|1142552W|43.3369721|-114.431121|||0.0|0.0
371372|Barrel Springs|Spring|Idaho|16|Blaine|013|Seamans Creek|06/21/1979|04/18/2011||||432511N|1141060W|43.4197043|-114.183243|||0.0|0.0
