feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
165345|Tennessee Valley Divide|Ridge|Tennessee|47|Grundy|061|Tracy City|09/04/1980|01/13/2011||||352138N|0853947W|35.36063|-85.6630284|||0.0|0.0
422222|Hillerman Rock|Pillar|Illinois|17|Massac|127|Bandana|02/01/1991||Official|Board Decision|01/01/1891|371250N|0885300W|37.2139421|-88.8833955|||0.0|0.0
424697|Cache River|Stream|Illinois|17|Alexander|003|Cairo|01/15/1980|05/12/2014||||370401N|0891022W|37.0669957|-89.1728509|372700N|0891444W|37.4500497|-89.2456391
424724|Cave in Rock Ferry|Crossing|Illinois|17|Hardin|069|Cave-in-Rock|01/15/1980|||||372750N|0880959W|37.4639391|-88.1664192|||0.0|0.0
425264|Ohio River|Stream|Kentucky|21|Ballard|007|Wyatt|10/24/1980|02/13/2020|Official|Board Decision|01/01/1931|365912N|0890750W|36.986719|-89.1306255|402634N|0800102W|40.4428469|-80.0172759
425443|Saline River|Stream|Kentucky|21|Union|225|Saline Mines|09/20/1979|05/12/2014||||373415N|0880732W|37.5708814|-88.1255866|374146N|0882719W|37.696159|-88.4553246
431065|Big Slough|Stream|Indiana|18|Spencer|147|Lewisport|02/14/1979|||||375609N|0865713W|37.9358853|-86.9536051|375846N|0865148W|37.9794986|-86.8633247
431552|Brock Creek|Stream|Indiana|18|Washington|175|New Amsterdam|02/14/1979|||||380643N|0861725W|38.112011|-86.2902525|383906N|0860238W|38.6517238|-86.0438656
431722|Buck Creek|Stream|Indiana|18|Harrison|061|Mauckport|02/14/1979||Official|Board Decision|01/01/1950|380055N|0861120W|38.0153475|-86.1888596|381334N|0855628W|38.2261803|-85.9410775
432976|Corn Island|Island|Indiana|18|Spencer|147|Lewisport|02/14/1979|||||375653N|0865422W|37.9481086|-86.9061037|||0.0|0.0
433160|Crooked Creek|Stream|Indiana|18|Spencer|147|Tell City|02/14/1979|||||375929N|0865024W|37.9914437|-86.8399907|381020N|0865245W|38.1722768|-86.8791601
436163|Highland Creek|Stream|Indiana|18|Washington|175|Leavenworth|02/14/1979|||||381036N|0862151W|38.1767312|-86.3641442|384001N|0860618W|38.6670008|-86.1049787
436648|Hurricane Creek|Stream|Indiana|18|Spencer|147|Rockport|02/14/1979|||||375249N|0870617W|37.8803267|-87.1047202|374129N|0871950W|37.6914345|-87.3305573
439094|Middle Fork Blue River|Stream|Indiana|18|Washington|175|Bedford|02/14/1979|||||383253N|0851514W|38.54812|-85.2538446|383832N|0864506W|38.6422742|-86.7516634
441362|Plum Creek|Stream|Indiana|18|Switzerland|155|Vevay North|02/14/1979|||||384527N|0850159W|38.7575624|-85.0330052|385113N|0850056W|38.8536111|-85.0155556
446242|Wolf Creek|Stream|Indiana|18|Monroe|105|Hindustan|02/14/1979|||||391639N|0862503W|39.2775472|-86.4174945|380047N|0862213W|38.0131215|-86.3702531
446735|Warsaw and Florence Ferry|Crossing|Indiana|18|Switzerland|155|Florence|10/01/1982|03/29/2021||||384715N|0845428W|38.7875629|-84.9077263|||0.0|0.0
446762|Ellis-Smeathere Ferry|Crossing|Indiana|18|Spencer|147|Owensboro East|10/01/1982|03/29/2021||||374820N|0870360W|37.8056049|-87.0666629|||0.0|0.0
449850|Wabash River|Stream|Indiana|18|Posey|129|Wabash Island|02/14/1979|08/06/2014|Official|Board Decision|10/07/1931|374753N|0880138W|37.7981003|-88.0272534|402107N|0844557W|40.351991|-84.765795
485665|Ball Fork|Stream|Kentucky|21|Pike|195|Belfry|09/20/1979||Official|Board Decision|01/01/1976|373335N|0821533W|37.5598261|-82.2590293|373317N|0821413W|37.5548266|-82.2368057
485666|Barnett Creek|Stream|Kentucky|21|Adair|001|Dunnville|09/20/1979|||||371150N|0850603W|37.197291|-85.1007901|371609N|0850347W|37.2692369|-85.0630121
485667|Barren Fork|Stream|Kentucky|21|Logan|141|Lewisburg|09/20/1979|||||365459N|0865821W|36.9164324|-86.9724973|365147N|0870016W|36.8630979|-87.0044418
485668|Beaver Dam Creek|Stream|Kentucky|21|Grayson|085|Big Clifty|09/20/1979|||||373306N|0861455W|37.5517235|-86.2485842|372930N|0861714W|37.4917214|-86.2871968
485669|Bee Lick Creek|Stream|Kentucky|21|Pulaski|199|Maretburg|09/20/1979|04/22/2015||||371606N|0842617W|37.2684152|-84.4379951|372131N|0843009W|37.3584893|-84.5025398
485670|Beechy Creek|Stream|Kentucky|21|Greenup|089|Load|09/20/1979|||||383632N|0825544W|38.6089671|-82.9287822|383704N|0830047W|38.6178554|-83.0129516
485671|Buck Lick Branch|Stream|Kentucky|21|Lewis|135|Burtonville|09/20/1979|||||382948N|0833347W|38.4967433|-83.5629694|382930N|0833052W|38.4916667|-83.5144444
485672|Casey Creek|Stream|Kentucky|21|Adair|001|Knifley|09/20/1979|12/10/2013||||371257N|0851201W|37.2157|-85.20035|372401N|0850004W|37.40027|-85.00118
485673|Coal Branch|Stream|Kentucky|21|Greenup|089|Greenup|09/20/1979|||||383537N|0825060W|38.59369|-82.8498907|383518N|0825528W|38.5884118|-82.9243374
485674|Cockrell Fork|Stream|Kentucky|21|Perry|193|Haddix|09/20/1979|||||372443N|0831619W|37.4120374|-83.271843|372250N|0831313W|37.3806497|-83.2201743
485675|Colliers Creek|Stream|Kentucky|21|Letcher|133|Roxana|09/20/1979|||||370053N|0825251W|37.0148171|-82.8807166|370111N|0824915W|37.0198185|-82.8207162
485676|Com Creek|Stream|Kentucky|21|Butler|031|Welchs Creek|09/20/1979|||||371825N|0863249W|37.3069931|-86.5469279|371857N|0862923W|37.3158825|-86.4897039
485677|Contrary Branch|Stream|Kentucky|21|Lawrence|127|Louisa|09/20/1979|06/26/2006||||380053N|0823721W|38.0148127|-82.6223779|375902N|0823637W|37.9839803|-82.6101551
485678|Denney Hollow|Valley|Kentucky|21|Wayne|231|Powersburg|09/20/1979|11/23/2016||||364155N|0845804W|36.6984822|-84.9678697|364225N|0850046W|36.7070245|-85.0127876
485679|Dick Fork|Stream|Kentucky|21|Pike|195|Williamson|09/20/1979|||||374220N|0822208W|37.7056552|-82.3687555|374239N|0822206W|37.7108333|-82.3683333
485680|Duck Lick Creek|Stream|Kentucky|21|Logan|141|Lewisburg|09/20/1979|12/18/2015||||365736N|0865918W|36.9600367|-86.9884454|365159N|0870157W|36.8664486|-87.0325945
485681|Emma Cook Hollow|Valley|Kentucky|21|Allen|003|Holland|09/20/1979|11/23/2016||||363920N|0860654W|36.6556929|-86.1149508|363918N|0860821W|36.6550691|-86.1392807
485682|Fallis Run|Stream|Kentucky|21|Mercer|167|Perryville|09/20/1979|||||374228N|0845826W|37.7078502|-84.9738471|374144N|0850041W|37.695627|-85.0113483
485683|Flat Rock Branch|Stream|Kentucky|21|Butler|031|Sugar Grove|09/20/1979|||||370331N|0864745W|37.058655|-86.7958279|370412N|0864358W|37.0700439|-86.7327713
485684|George Bruce Hollow|Valley|Kentucky|21|Lewis|135|Concord|09/20/1979|01/13/2016||||383745N|0832539W|38.6291937|-83.4273878|383708N|0832527W|38.6188308|-83.4240372
485685|Griers Creek|Stream|Kentucky|21|Woodford|239|Tyrone|09/20/1979|04/27/2009||||380120N|0844944W|38.0222977|-84.8288377|380053N|0844327W|38.0147989|-84.7241127
485686|John Noble Fork|Stream|Kentucky|21|Breathitt|025|Noble|09/20/1979|||||372806N|0831250W|37.4684266|-83.2137852|372808N|0831202W|37.4688889|-83.2005556
485689|Left Fork Beechy Creek|Stream|Kentucky|21|Greenup|089|Brushart|09/20/1979|||||383706N|0830003W|38.618411|-83.0007289|383725N|0830035W|38.6236111|-83.0097222
485690|Lige Grimm Hollow|Valley|Kentucky|21|Lewis|135|Concord|09/20/1979|01/13/2016||||383739N|0832640W|38.62745|-83.4444085|383656N|0832638W|38.6154256|-83.4440259
485691|Little Oak Creek|Stream|Kentucky|21|Greenup|089|Load|09/20/1979|||||383253N|0825755W|38.5481344|-82.9651717|383235N|0830225W|38.543134|-83.0401741
485692|McElroy Creek|Stream|Kentucky|21|Caldwell|033|Fredonia|09/20/1979|||||370822N|0880015W|37.1394959|-88.0041861|370658N|0875814W|37.1161621|-87.9705739
485693|Mill Creek|Stream|Kentucky|21|Taylor|217|Saloma|09/20/1979||Official|Board Decision|01/01/1962|372353N|0852751W|37.3981177|-85.4641321|372833N|0852952W|37.4758333|-85.4977778
485694|Negro Fork|Stream|Kentucky|21|Breathitt|025|Guage|09/20/1979|02/23/2018||||373716N|0831440W|37.6211254|-83.2443339|373823N|0831609W|37.6396051|-83.2690618
485695|Opossum Branch|Stream|Kentucky|21|Taylor|217|Mannsville|09/20/1979|10/05/2009||||372040N|0851419W|37.34439|-85.23874|372234N|0851454W|37.37603|-85.24843
485696|Peggs Fork|Stream|Kentucky|21|Breathitt|025|Landsaw|09/20/1979|||||374004N|0832236W|37.6678669|-83.3765696|374120N|0832252W|37.6888889|-83.3811111
485698|Sand Lick Branch|Stream|Kentucky|21|Owen|187|Glencoe|09/20/1979|||||383816N|0844829W|38.6378438|-84.8080032|383551N|0844820W|38.5975666|-84.8055031
485699|Servant Run|Stream|Kentucky|21|Washington|229|Saint Catharine|09/20/1979|||||374050N|0851615W|37.6806181|-85.2707933|373840N|0851245W|37.644509|-85.2124598
485700|South Fork Collier Creek|Stream|Kentucky|21|Letcher|133|Whitesburg|09/20/1979|||||370017N|0825151W|37.0048172|-82.86405|365948N|0825007W|36.9967622|-82.8351609
485701|Southards Creek|Stream|Kentucky|21|Ohio|183|Paradise|09/20/1979|||||372100N|0865650W|37.3500453|-86.9472162|372230N|0865656W|37.375|-86.9488889
485702|Sugar Cane Hollow|Valley|Kentucky|21|Carter|043|Oldtown|09/20/1979|01/24/2017||||382254N|0825307W|38.3815768|-82.8851699|382253N|0825141W|38.3812879|-82.8613611
485703|Swinge Camp Branch|Stream|Kentucky|21|Pike|195|Williamson|09/20/1979|08/10/2009||||374210N|0822120W|37.7028878|-82.355422|374231N|0822415W|37.708745|-82.40407
485704|Ten Mile Creek|Stream|Kentucky|21|Grant|081|Glencoe|09/20/1979|07/24/2009|Official|Board Decision|07/12/1962|384256N|0844516W|38.715621|-84.7543916|384411N|0843556W|38.7364558|-84.5988314
485705|Trace Fork|Stream|Kentucky|21|Casey|045|Phil|09/20/1979|||||371230N|0845710W|37.2084054|-84.9527307|371758N|0845215W|37.2995187|-84.8707841
485706|Trotter Creek|Stream|Kentucky|21|Fleming|069|Tollesboro|09/20/1979|||||383014N|0833660W|38.5039655|-83.6165822|382808N|0833808W|38.4689659|-83.6354714
485707|Upper Howard Creek|Stream|Kentucky|21|Clark|049|Union City|09/20/1979|03/25/2008||||375154N|0840731W|37.8650798|-84.1252049|375842N|0840245W|37.9784129|-84.0457578
485708|Welchs Creek|Stream|Kentucky|21|Butler|031|Ready|09/20/1979|||||371915N|0862959W|37.3208825|-86.4997042|371957N|0862918W|37.3325|-86.4883333
485709|White Oak Creek|Stream|Kentucky|21|Greenup|089|Load|09/20/1979|03/13/2006||||383410N|0825706W|38.569523|-82.9515603|383249N|0830617W|38.5470225|-83.1046208
485710|Williams Fork|Stream|Kentucky|21|Magoffin|153|Salyersville North|09/20/1979|11/30/2011||||375220N|0830616W|37.8722958|-83.1044698|375314N|0830459W|37.8873116|-83.0829484
485711|Woolper Creek|Stream|Kentucky|21|Boone|015|Lawrenceburg|09/20/1979|||||390120N|0845137W|39.0222811|-84.8602276|390353N|0844205W|39.0647817|-84.7013354
485712|Aaron Branch|Stream|Kentucky|21|Lawrence|127|Adams|09/20/1979|||||380303N|0824249W|38.0509225|-82.7134918|380225N|0824403W|38.0402778|-82.7341667
485713|Aaron Branch|Stream|Kentucky|21|Henry|103|Gratz|09/20/1979|||||382526N|0845608W|38.423957|-84.9355062|382434N|0845505W|38.4094444|-84.9180556
485715|Aarons Run|Stream|Kentucky|21|Montgomery|173|North Middletown|09/20/1979|01/17/2008||||380739N|0840009W|38.1275775|-84.0024249|380614N|0840321W|38.1039667|-84.0557592
485716|Abb Creek|Stream|Kentucky|21|Lawrence|127|Blaine|09/20/1979|||||380550N|0825117W|38.097309|-82.8546078|380600N|0825412W|38.1000863|-82.9032205
485719|Abbey Branch|Stream|Kentucky|21|Pike|195|Matewan|09/20/1979|||||373002N|0821058W|37.5006621|-82.1829132|373027N|0821115W|37.5075|-82.1875
485720|Abbott Creek|Stream|Kentucky|21|Floyd|071|Prestonsburg|09/20/1979|11/13/2008||||374113N|0824660W|37.687041|-82.7832156|374309N|0825207W|37.719235|-82.868543
485721|Abbott Hollow|Valley|Kentucky|21|Carter|043|Grahn|09/20/1979|12/23/2015||||381526N|0830016W|38.2571168|-83.0044758|381602N|0830040W|38.2671393|-83.0110033
485722|Abbott Hollow|Valley|Kentucky|21|Trimble|223|Bethlehem|09/20/1979|12/23/2015||||383210N|0852431W|38.536167|-85.4085645|383205N|0852347W|38.5347576|-85.3962909
485723|Abe Creek|Stream|Kentucky|21|McLean|149|Delaware|09/20/1979|||||374010N|0872534W|37.669489|-87.426115|373822N|0872623W|37.6394444|-87.4397222
485724|Abe Fork|Stream|Kentucky|21|Floyd|071|Wheelwright|09/20/1979|||||371808N|0824241W|37.3023252|-82.7112679|371732N|0824211W|37.2922222|-82.7030556
485725|Abel Tackett Fork|Stream|Kentucky|21|Pike|195|Wheelwright|09/20/1979|||||371811N|0823922W|37.3031595|-82.6559891|371852N|0824009W|37.3144444|-82.6691667
485726|Abells Spring Branch|Stream|Kentucky|21|Adair|001|Mannsville|09/20/1979|||||371603N|0850838W|37.2675683|-85.1438471|371542N|0850646W|37.2617357|-85.1127353
485727|Aberdeen|Populated Place|Kentucky|21|Butler|031|Flener|09/20/1979|06/07/2022||||371514N|0864054W|37.2539361|-86.6816547|||0.0|0.0
485729|Abner Branch|Stream|Kentucky|21|Harlan|095|Rose Hill|09/20/1979|04/23/2008||||364322N|0831845W|36.7228649|-83.3124037|364419N|0831909W|36.7386111|-83.3191667
485730|Abner Branch|Stream|Kentucky|21|Letcher|133|Roxana|09/20/1979|||||370225N|0825452W|37.0403725|-82.9143279|370205N|0825430W|37.0347222|-82.9083333
485731|Abner Fork|Stream|Kentucky|21|Floyd|071|Wheelwright|09/20/1979|||||372103N|0824140W|37.3509357|-82.6943232|372115N|0823856W|37.3541667|-82.6488889
485732|Abner Fork|Stream|Kentucky|21|Pike|195|Elkhorn City|09/20/1979|||||372112N|0822017W|37.3534404|-82.337923|372226N|0821944W|37.3738889|-82.3288889
485733|Abner Mountain|Summit|Kentucky|21|Pike|195|Wheelwright|09/20/1979|03/24/2023||||372112N|0823849W|37.3533098|-82.6469406|||0.0|0.0
485736|Abrahams Run|Stream|Kentucky|21|Meade|163|Rock Haven|09/20/1979|||||375936N|0860027W|37.9934065|-86.0074647|375832N|0855750W|37.9756275|-85.9638527
485738|Absalom Creek|Stream|Kentucky|21|Mason|161|Cowan|09/20/1979|11/09/2011||||382834N|0835446W|38.4760182|-83.9128017|383054N|0835137W|38.5150756|-83.8602004
485740|Absher Ridge|Ridge|Kentucky|21|Adair|001|Dunnville|09/20/1979|10/15/2022||||371453N|0850405W|37.2480913|-85.0681053|||0.0|0.0
485742|Ace Hollow|Valley|Kentucky|21|Russell|207|Eli|09/20/1979|12/23/2015||||370014N|0845724W|37.0039628|-84.9566087|370052N|0845708W|37.0145219|-84.9523397
485746|Acup Branch|Stream|Kentucky|21|Perry|193|Vicco|09/20/1979|||||371249N|0830647W|37.213707|-83.1129464|371323N|0830453W|37.2230556|-83.0813889
485749|Adairville|Populated Place|Kentucky|21|Logan|141|Adairville|09/20/1979|09/21/2010||||364003N|0865107W|36.6675425|-86.8519417|||0.0|0.0
485751|Adams Branch|Stream|Kentucky|21|Harlan|095|Wallins Creek|09/20/1979|||||364544N|0832336W|36.7623088|-83.3932415|364502N|0832402W|36.7505556|-83.4005556
485752|Adams Branch|Stream|Kentucky|21|Letcher|133|Blackey|09/20/1979|||||371026N|0825528W|37.1739866|-82.9243278|371154N|0825512W|37.1983333|-82.92
485753|Adams Branch|Stream|Kentucky|21|Pike|195|Wheelwright|09/20/1979|02/20/2007||||371626N|0823929W|37.2739934|-82.6579337|371629N|0823816W|37.2747222|-82.6377778
485754|Adams Branch|Stream|Kentucky|21|Pike|195|Hellier|09/20/1979|||||371643N|0822345W|37.2787195|-82.3957041|371746N|0822459W|37.2961111|-82.4163889
485755|Adams Branch|Stream|Kentucky|21|Monroe|171|Gamaliel|09/20/1979|||||364120N|0854626W|36.6889451|-85.7738645|364215N|0854337W|36.7042237|-85.7269184
485771|Adams Creek|Stream|Kentucky|21|Metcalfe|169|East Fork|09/20/1979|||||370520N|0853534W|37.0889461|-85.5927455|370659N|0853023W|37.1163889|-85.5063889
485772|Adams Creek|Stream|Kentucky|21|Carter|043|Tygarts Valley|09/20/1979|||||382308N|0830354W|38.3856357|-83.0648956|382407N|0830441W|38.4019444|-83.0780556
485773|Adams Fork|Stream|Kentucky|21|Lawrence|127|Blaine|09/20/1979|06/26/2006||||380547N|0824908W|38.0964761|-82.8187733|380656N|0824749W|38.1155556|-82.7969444
485774|Adams Fork|Stream|Kentucky|21|Ohio|183|Dundee|09/20/1979|||||373336N|0864732W|37.5600508|-86.7922119|374148N|0863836W|37.6967213|-86.6433178
485777|Add Hollow|Valley|Kentucky|21|Pike|195|Jamboree|09/20/1979|12/23/2015||||372514N|0821110W|37.4204399|-82.1862422|372523N|0821130W|37.4230829|-82.1915387
485778|Adkins Branch|Stream|Kentucky|21|Lawrence|127|Fallsburg|09/20/1979|||||380841N|0824222W|38.1448087|-82.7059927|380916N|0824232W|38.1544444|-82.7088889
485782|Adolphus|Populated Place|Kentucky|21|Allen|003|Adolphus|09/20/1979|06/07/2022||||363906N|0861541W|36.6517098|-86.2613779|||0.0|0.0
485785|Adwell Spring|Spring|Kentucky|21|Edmonson|061|Mammoth Cave|09/20/1979|04/18/2011||||371125N|0860325W|37.1903518|-86.0570402|||0.0|0.0
485788|Aetnaville|Populated Place|Kentucky|21|Ohio|183|Whitesville|09/20/1979|06/07/2022||||374022N|0864726W|37.6728299|-86.7905448|||0.0|0.0
485789|Aflex|Populated Place|Kentucky|21|Pike|195|Delbarton|09/20/1979|06/07/2022||||373929N|0821451W|37.6581578|-82.2473616|||0.0|0.0
485791|Agee Ridge|Ridge|Kentucky|21|Clinton|053|Wolf Creek Dam|09/20/1979|03/24/2023||||365042N|0850956W|36.8451258|-85.1656037|||0.0|0.0
485792|Ages|Populated Place|Kentucky|21|Harlan|095|Evarts|09/20/1979|06/07/2022||||365128N|0831447W|36.8578673|-83.2462884|||0.0|0.0
485793|Aggie Hollow|Valley|Kentucky|21|Wayne|231|Monticello|09/20/1979|12/23/2015||||364910N|0844853W|36.8193583|-84.8145915|364932N|0844748W|36.8256239|-84.7966479
485795|Agniels Creek|Stream|Kentucky|21|Gallatin|077|Vevay North|09/20/1979|||||384536N|0850051W|38.7600625|-85.0141158|384529N|0845943W|38.7581183|-84.9952265
485796|Ail Branch|Stream|Kentucky|21|Pike|195|Matewan|09/20/1979|02/20/2007||||373533N|0821019W|37.592605|-82.1720789|373532N|0821054W|37.5922222|-82.1816667
485797|Airdrie Hill|Summit|Kentucky|21|Muhlenberg|177|Paradise|09/20/1979|01/13/2023||||371650N|0865913W|37.2805217|-86.9870178|||0.0|0.0
485799|Airport Gardens|Populated Place|Kentucky|21|Perry|193|Hazard North|09/20/1979|06/07/2022||||371713N|0831211W|37.2870396|-83.2029513|||0.0|0.0
485800|Aker Branch|Stream|Kentucky|21|Floyd|071|Pikeville|09/20/1979|||||372705N|0823549W|37.45149|-82.5968208|372630N|0823557W|37.4416667|-82.5991667
485801|Akers Branch|Stream|Kentucky|21|Floyd|071|McDowell|09/20/1979|||||372717N|0823906W|37.4548229|-82.6515447|372732N|0823826W|37.4588889|-82.6405556
485802|Akers Branch|Stream|Kentucky|21|Floyd|071|Martin|09/20/1979|||||373125N|0824509W|37.5237104|-82.7523812|373112N|0824551W|37.52|-82.7641667
485803|Akers Branch|Stream|Kentucky|21|Floyd|071|Harold|09/20/1979|10/30/2006||||373338N|0824138W|37.5606545|-82.6937682|373249N|0824235W|37.5469444|-82.7097222
485804|Akers Branch|Stream|Kentucky|21|Floyd|071|Harold|09/20/1979|||||373528N|0824204W|37.5912096|-82.7009906|373436N|0824222W|37.5766667|-82.7061111
485805|Akers Branch|Stream|Kentucky|21|Floyd|071|Lancer|09/20/1979|||||374304N|0824236W|37.7178746|-82.7098797|374329N|0824234W|37.7247222|-82.7094444
485806|Akers Valley|Valley|Kentucky|21|Hardin|093|Millerstown|09/20/1979|12/23/2015||||372839N|0860258W|37.4776318|-86.0495514|372912N|0855609W|37.4865371|-85.9357713
485807|Akersville|Populated Place|Kentucky|21|Monroe|171|Fountain Run|09/20/1979|06/07/2022||||363851N|0855616W|36.6475531|-85.9377582|||0.0|0.0
485811|Akin Knob|Summit|Kentucky|21|Hart|099|Hudgins|09/20/1979|||||372152N|0854058W|37.3645029|-85.6827436|||0.0|0.0
485813|Albany|Populated Place|Kentucky|21|Clinton|053|Albany|09/20/1979|06/07/2022||||364127N|0850805W|36.6908992|-85.1346776|||0.0|0.0
485814|Albany Rock|Summit|Kentucky|21|Clinton|053|Savage|09/20/1979|02/24/2023||||364252N|0850649W|36.7145725|-85.1135207|||0.0|0.0
485816|Alder Creek|Stream|Kentucky|21|Grayson|085|Caneyville|09/20/1979|||||372510N|0862828W|37.419496|-86.4744254|372128N|0862750W|37.3578281|-86.4638696
485818|Aldridge Branch|Stream|Kentucky|21|Martin|159|Thomas|09/20/1979|||||374301N|0823021W|37.7170421|-82.5057055|374300N|0823047W|37.7166667|-82.5130556
485819|Alexander Bar|Bar|Kentucky|21|Cumberland|057|Burkesville|09/20/1979|02/06/2015||||364828N|0852038W|36.8078143|-85.3438525|||0.0|0.0
485827|Alexander Creek|Stream|Kentucky|21|Edmonson|061|Brownsville|09/20/1979|||||370901N|0861741W|37.150324|-86.294702|370501N|0861658W|37.083656|-86.2827608
485828|Alexander Creek|Stream|Kentucky|21|Crittenden|055|Shady Grove|09/20/1979|||||371801N|0875947W|37.3003279|-87.996408|371650N|0880035W|37.2806061|-88.0097414
485831|Alexandria|Populated Place|Kentucky|21|Campbell|037|Alexandria|09/20/1979|06/07/2022||||385734N|0842317W|38.9595078|-84.3879946|||0.0|0.0
485832|Old Alexandria Reservoir|Reservoir|Kentucky|21|Campbell|037|New Richmond|09/20/1979|10/17/2019||||385739N|0842214W|38.9609365|-84.3705788|||0.0|0.0
485834|Aliceton|Populated Place|Kentucky|21|Boyle|021|Gravel Switch|09/20/1979|06/07/2022||||373527N|0850148W|37.5909047|-85.0299587|||0.0|0.0
485836|Alien Ridge|Ridge|Kentucky|21|Casey|045|Clementsville|09/20/1979|10/08/2022||||372124N|0850246W|37.3565649|-85.0461278|||0.0|0.0
485837|Atkins Branch|Stream|Kentucky|21|Pike|195|Belfry|01/01/2000|||||373257N|0821553W|37.5492707|-82.264585|373047N|0821631W|37.5130556|-82.2752778
485839|All Horn Branch|Stream|Kentucky|21|Lawrence|127|Webbville|09/20/1979|||||381313N|0824708W|38.2203617|-82.7854404|381344N|0824915W|38.2288889|-82.8208333
485841|Allcorn Creek|Stream|Kentucky|21|Greenup|089|Greenup|09/20/1979|||||383155N|0825220W|38.5320239|-82.8721131|383334N|0825531W|38.5595233|-82.9251706
485843|Allegre|Populated Place|Kentucky|21|Todd|219|Allegre|09/20/1979|06/07/2022||||365543N|0871302W|36.9286542|-87.2172226|||0.0|0.0
485844|Allen Branch|Stream|Kentucky|21|Letcher|133|Mayking|09/20/1979|||||370846N|0824741W|37.1462109|-82.7946035|370905N|0824703W|37.1513889|-82.7841667
485845|Allen Branch|Stream|Kentucky|21|Pike|195|Jamboree|09/20/1979|02/20/2007||||372723N|0820916W|37.4564966|-82.1545784|372746N|0821003W|37.4627778|-82.1675
485846|Allen Branch|Stream|Kentucky|21|Floyd|071|Martin|09/20/1979|10/30/2006||||373718N|0825008W|37.6217636|-82.8354396|373630N|0824937W|37.6083333|-82.8269444
485847|Allen Branch|Stream|Kentucky|21|Washington|229|Saint Catharine|09/20/1979|10/06/2009||||374121N|0851543W|37.68929|-85.26189|374021N|0851514W|37.6725|-85.2538889
485848|Allen Branch|Stream|Kentucky|21|Pulaski|199|Somerset|09/20/1979|10/17/2008||||370339N|0843620W|37.0609109|-84.6054969|370353N|0843821W|37.0647992|-84.6391087
485849|Allen Branch|Stream|Kentucky|21|Floyd|071|Prestonsburg|09/20/1979|10/30/2006||||373811N|0824907W|37.6364858|-82.8184946|373704N|0824917W|37.617875|-82.8212724
485850|Allen Branch|Stream|Kentucky|21|Magoffin|153|Salyersville South|09/20/1979|||||373928N|0830653W|37.6578707|-83.114616|373719N|0830554W|37.622038|-83.0982263
485866|Allen City|Populated Place|Kentucky|21|Floyd|071|Harold|09/20/1979|06/07/2022||||373634N|0824340W|37.6095426|-82.7276582|||0.0|0.0
485867|Allen Creek|Stream|Kentucky|21|Cumberland|057|Waterview|09/20/1979|||||364818N|0852548W|36.805061|-85.4299644|365135N|0852615W|36.8597222|-85.4375
485868|Allen Creek|Stream|Kentucky|21|Casey|045|Phil|09/20/1979|||||371408N|0845804W|37.2356277|-84.9677315|371537N|0845454W|37.2603511|-84.9149522
485869|Allen Fork|Stream|Kentucky|21|Boone|015|Lawrenceburg|09/20/1979|||||390210N|0844553W|39.0361707|-84.7646698|390229N|0844250W|39.0414487|-84.7138354
485871|Allen Patton Branch|Stream|Kentucky|21|Breathitt|025|Guage|09/20/1979|||||373608N|0831032W|37.6023148|-83.1754512|373704N|0830857W|37.6177778|-83.1491667
485873|Allen Wireman Branch|Stream|Kentucky|21|Magoffin|153|David|09/20/1979|||||373440N|0825813W|37.5778738|-82.9701661|373412N|0825735W|37.57|-82.9597222
485876|Allens Hill|Summit|Kentucky|21|Butler|031|Morgantown|09/20/1979|03/24/2023||||371410N|0864233W|37.2362318|-86.7090899|||0.0|0.0
485877|Allens Lake|Reservoir|Kentucky|21|Grayson|085|Leitchfield|09/20/1979|10/31/2018||||372719N|0862218W|37.4552001|-86.3715447|||0.0|0.0
485878|Allensville|Populated Place|Kentucky|21|Todd|219|Allensville|09/20/1979|06/07/2022||||364300N|0870358W|36.7167081|-87.0661104|||0.0|0.0
485880|Alley Branch|Stream|Kentucky|21|Pike|195|Meta|09/20/1979|02/20/2007||||373610N|0822651W|37.6028776|-82.4473704|373525N|0822719W|37.5902778|-82.4552778
485881|Alley Fork|Stream|Kentucky|21|Floyd|071|Prestonsburg|09/20/1979|||||374308N|0824731W|37.718985|-82.7918271|374220N|0824830W|37.7055556|-82.8083333
485882|Allgood Ditch|Canal|Kentucky|21|Daviess|059|Maceo|09/20/1979|||||375000N|0865854W|37.833384|-86.9816609|||0.0|0.0
485884|Alligator Creek|Stream|Kentucky|21|Russell|207|Eli|09/20/1979|||||370032N|0845520W|37.0089599|-84.9221719|370147N|0845531W|37.0297222|-84.9252778
485885|Allison Branch|Stream|Kentucky|21|Wolfe|237|Lee City|09/20/1979|||||374434N|0832015W|37.7428668|-83.3374021|374447N|0831848W|37.7463889|-83.3133333
485886|Allison Creek|Stream|Kentucky|21|Fleming|069|Flemingsburg|09/20/1979|||||382242N|0834355W|38.3784109|-83.7318629|382303N|0833924W|38.3842445|-83.6565826
485887|Allison Knob|Summit|Kentucky|21|Hart|099|Park|09/20/1979|03/24/2023||||371422N|0854555W|37.2395185|-85.7653087|||0.0|0.0
