feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
112830|Reedy Creek|Stream|Florida|12|Escambia|033|Century|10/19/1979|03/31/2020||||305809N|0872209W|30.9690718|-87.3691441|310121N|0872226W|31.0224033|-87.3738668
113763|Beaverdam Creek|Stream|Florida|12|Escambia|033|Bratt|10/19/1979|03/31/2020||||305538N|0872640W|30.9272445|-87.4445016|310235N|0872739W|31.0429648|-87.4609596
114224|Big Branch|Stream|Florida|12|Jackson|063|Graceville|10/19/1979|03/31/2020||||305853N|0853102W|30.9814572|-85.5170967|305933N|0853252W|30.9923955|-85.547698
114664|Boggy Branch|Stream|Florida|12|Holmes|059|Esto|10/19/1979|03/31/2020||||305823N|0854442W|30.9731224|-85.7449601|310051N|0854402W|31.0140957|-85.7337894
114665|Boggy Branch|Stream|Florida|12|Jackson|063|Graceville|10/19/1979|03/31/2020||||305913N|0853029W|30.9870339|-85.5080717|310057N|0853209W|31.0158332|-85.5357373
115065|Brushy Creek|Stream|Florida|12|Escambia|033|Enon|10/19/1979|03/31/2020||||304731N|0873336W|30.7920355|-87.5598628|310322N|0872822W|31.0560054|-87.4727154
115117|Buck Creek|Stream|Florida|12|Jackson|063|Sills|10/19/1979|03/31/2020||||305917N|0851851W|30.9880604|-85.3141502|310825N|0852025W|31.1403881|-85.340173
115582|Cannon Branch|Stream|Florida|12|Holmes|059|Esto|10/19/1979|04/03/2020||||305820N|0854044W|30.9723184|-85.6788534|310136N|0854030W|31.0267614|-85.6751144
115589|Canoe Creek|Stream|Florida|12|Escambia|033|McDavid|10/19/1979|04/03/2020||||305134N|0871839W|30.8595293|-87.3108246|310227N|0872629W|31.0409056|-87.4412953
116180|John Branch|Stream|Florida|12|Holmes|059|Esto|08/28/1987|04/08/2020|Official|Board Decision|01/01/1979|305823N|0854458W|30.9729712|-85.7494518|310032N|0854508W|31.0089889|-85.7521246
117317|Dixon Creek|Stream|Florida|12|Santa Rosa|113|McLellan|10/19/1979|04/17/2020||||305406N|0865729W|30.9016683|-86.9581829|310020N|0870117W|31.0054607|-87.021251
117707|Dyas Creek|Stream|Alabama|01|Baldwin|003|Dogwood Creek|09/04/1980|04/22/2020||||305158N|0873805W|30.8659879|-87.6347014|310259N|0874045W|31.0498472|-87.6792451
117753|East Fork Big Coldwater Creek|Stream|Florida|12|Santa Rosa|113|Allentown|10/19/1979|04/22/2020||||304650N|0870122W|30.7806079|-87.0226828|310126N|0865358W|31.0237933|-86.8994525
119468|Gully Branch|Stream|Alabama|01|Geneva|061|Hobbs Crossroads|09/04/1980|04/26/2020||||305940N|0855754W|30.9944021|-85.9649726|305919N|0855705W|30.9887159|-85.9513953
119482|Gum Slough|Stream|Florida|12|Jackson|063|Sills|10/19/1979|04/26/2020||||305847N|0851524W|30.9797876|-85.2566715|310553N|0851654W|31.0979914|-85.2815525
120159|Hobbs Branch|Stream|Florida|12|Escambia|033|Bratt|10/19/1979|04/29/2020||||305909N|0872343W|30.9858984|-87.3951593|310217N|0872337W|31.037939|-87.3936935
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
120707|Irwin Mill Creek|Stream|Florida|12|Jackson|063|Bascom|10/19/1979|05/08/2020||||305905N|0850016W|30.9847377|-85.0044564|310056N|0850514W|31.01551|-85.0872602
121607|Lighter Snag Creek|Stream|Florida|12|Holmes|059|Graceville|10/19/1979|05/13/2020||||305920N|0853517W|30.9887743|-85.5879683|310150N|0853121W|31.0306229|-85.5224902
121645|Limestone Creek|Stream|Alabama|01|Geneva|061|Darlington|09/04/1980|05/13/2020||||305950N|0860126W|30.9971439|-86.0238655|305860N|0860913W|30.9832099|-86.1537059
121667|Lindsey Creek|Stream|Alabama|01|Escambia|053|Brewton South|09/04/1980|05/13/2020||||310213N|0870656W|31.0369131|-87.1155732|305940N|0870357W|30.9945614|-87.0657592
121860|Little River|Stream|Alabama|01|Geneva|061|Hobbs Crossroads|09/04/1980|07/24/2020||||305947N|0855950W|30.9964036|-85.9971006|305934N|0860031W|30.9926995|-86.0087077
122309|Marshall Creek|Stream|Florida|12|Jackson|063|Sills|10/19/1979|08/05/2020||||305436N|0851617W|30.9100915|-85.2713804|310229N|0852028W|31.0413749|-85.3411017
122752|Mill Creek|Stream|Florida|12|Escambia|033|Century|10/19/1979|08/06/2020||||305744N|0871531W|30.9621065|-87.2587463|305952N|0871833W|30.997865|-87.3091584
123133|Moulten Slough|Stream|Alabama|01|Houston|069|Cottonwood|09/04/1980|08/18/2020||||310000N|0852010W|31.0000849|-85.3362146|305909N|0852144W|30.9857283|-85.3621408
124530|Pea River|Stream|Alabama|01|Geneva|061|Geneva East|09/04/1980|11/06/2020||||310118N|0855129W|31.0215732|-85.8579787|320812N|0853514W|32.136574|-85.5870971
124603|Perdido Bay|Bay|Florida|12|Escambia|033|Lillian|09/04/1980|06/18/2022||||302250N|0872546W|30.3804615|-87.4293873|||0.0|0.0
124755|Pine Barren Creek|Stream|Florida|12|Escambia|033|Molino|10/19/1979|04/06/2021||||304404N|0871845W|30.7344638|-87.3125613|310119N|0872844W|31.0220147|-87.4788905
124921|Pittman Bay|Swamp|Alabama|01|Houston|069|Cottonwood|09/04/1980|10/28/2014||||310006N|0851751W|31.0015727|-85.2974326|||0.0|0.0
125472|Red Branch|Stream|Alabama|01|Escambia|053|Brewton South|09/04/1980|07/30/2021||||310109N|0870516W|31.0190913|-87.0876592|305931N|0870521W|30.9920336|-87.089239
125524|Reedy Branch|Stream|Florida|12|Santa Rosa|113|McLellan|10/19/1979|07/30/2021||||305801N|0865617W|30.9668492|-86.9380187|310000N|0865741W|31.0001164|-86.9615073
125825|Rocky Branch|Stream|Florida|12|Escambia|033|Walnut Hill|10/19/1979|||||305923N|0873149W|30.9896266|-87.5302607|310040N|0872943W|31.0110148|-87.4952595
127756|Tenmile Creek|Stream|Florida|12|Holmes|059|Bonifay|10/19/1979|01/03/2014||||305219N|0854343W|30.8718521|-85.7285431|310146N|0853812W|31.0293467|-85.6365999
128919|Whitewater Branch|Stream|Florida|12|Holmes|059|Izagora|10/19/1979|||||305839N|0854923W|30.9774034|-85.8229897|305953N|0854611W|30.9980556|-85.7697222
129296|Yellow Water Creek|Stream|Florida|12|Santa Rosa|113|McLellan|10/19/1979|||||305802N|0865610W|30.9671269|-86.9360741|310211N|0865541W|31.0362913|-86.9280192
134650|Nunez Ferry (historical)|Crossing|Alabama|01|Baldwin|003|Seminole|12/01/2003|||||303039N|0872651W|30.5107512|-87.4474794|||0.0|0.0
134663|Perdido Key|Island|Alabama|01|Baldwin|003|Orange Beach|12/01/2003||Official|Board Decision|01/01/1966|301644N|0873157W|30.278813|-87.532481|||0.0|0.0
151745|Cowarts Creek|Stream|Florida|12|Jackson|063|Sills|10/19/1979|||||305437N|0851617W|30.9101877|-85.2713202|311260N|0851633W|31.2165658|-85.2757658
154040|Wrights Creek|Stream|Florida|12|Holmes|059|Caryville|10/19/1979|||||304742N|0854924W|30.7949099|-85.8232666|310528N|0853056W|31.091012|-85.5154892
158785|Big Escambia Creek|Stream|Florida|12|Escambia|033|Jay|10/19/1979||Official|Board Decision|01/01/1962|305748N|0871323W|30.9632387|-87.2230281|312801N|0872108W|31.4668308|-87.3522074
158820|Eightmile Creek|Stream|Alabama|01|Geneva|061|Samson|09/04/1980|||||310336N|0860722W|31.0599001|-86.1227198|305337N|0860744W|30.8935171|-86.1288299
159050|Adams Pond|Reservoir|Alabama|01|Covington|039|Onycha|09/04/1980|05/17/2023||||311322N|0861756W|31.2227917|-86.2989662|||0.0|0.0
159060|Alligator Branch|Stream|Florida|12|Okaloosa|091|Blackman|10/19/1979|||||305856N|0864337W|30.9821259|-86.7269008|310012N|0864446W|31.0032365|-86.7460681
159177|Big Creek|Stream|Florida|12|Okaloosa|091|Oak Grove|10/19/1979|||||305757N|0863313W|30.9657372|-86.5535631|310206N|0862456W|31.0349012|-86.4155048
159178|Big Horse Creek|Stream|Florida|12|Okaloosa|091|Oak Grove|10/19/1979|07/09/2015||||305434N|0863341W|30.9093501|-86.5613412|310103N|0863643W|31.0174677|-86.6119813
159179|Big Juniper Creek|Stream|Florida|12|Santa Rosa|113|Harold|10/19/1979|||||304147N|0865422W|30.6963019|-86.9060727|305950N|0865134W|30.9971258|-86.859405
159226|Boggy Hollow Creek|Stream|Florida|12|Okaloosa|091|Blackman|10/19/1979|||||305830N|0864344W|30.974904|-86.7288454|310145N|0863645W|31.0290685|-86.6124542
159615|Fleming Creek|Stream|Florida|12|Walton|131|Paxton|10/19/1979|||||305653N|0862224W|30.9479598|-86.3732807|310158N|0862139W|31.032679|-86.3607811
159813|Horsehead Creek|Stream|Florida|12|Okaloosa|091|Dorcas|10/19/1979|||||305153N|0862439W|30.8646291|-86.410782|310222N|0862258W|31.0393455|-86.3827263
159952|Line Branch|Stream|Florida|12|Okaloosa|091|Hurricane Lake|10/19/1979|01/14/2021||||305826N|0864516W|30.973793|-86.7544016|305950N|0864712W|30.9972222|-86.7866667
160088|Middle Creek|Stream|Florida|12|Okaloosa|091|Blackman|10/19/1979|||||305908N|0864326W|30.9854592|-86.7238453|310220N|0864444W|31.0387906|-86.7455134
160216|Natural Bridge Creek|Stream|Alabama|01|Covington|039|Hacoda|09/04/1980|||||310059N|0860936W|31.0162907|-86.1599421|305627N|0861603W|30.9407378|-86.2674447
160425|Pond Creek|Stream|Florida|12|Okaloosa|091|Dorcas|10/19/1979|||||304710N|0862428W|30.7860206|-86.4077266|310143N|0862121W|31.0285124|-86.3557808
160482|Reedy Creek|Stream|Florida|12|Santa Rosa|113|Hurricane Lake|10/19/1979|||||305657N|0864801W|30.9490717|-86.8002364|310017N|0865036W|31.0046255|-86.8432935
160508|Rock Creek|Stream|Florida|12|Okaloosa|091|Blackman|10/19/1979|||||305620N|0864404W|30.9387941|-86.7344009|310351N|0864805W|31.0640676|-86.8013491
160701|Sweetwater Creek|Stream|Florida|12|Santa Rosa|113|Spring Hill|10/19/1979|||||304852N|0865329W|30.8143539|-86.8913502|310240N|0864927W|31.0443462|-86.8241271
161647|Barney Creek|Stream|Florida|12|Santa Rosa|113|Hurricane Lake|08/28/1987|||||305948N|0864833W|30.9965702|-86.8091257|310238N|0864845W|31.0437906|-86.8124601
163344|Little Escambia Creek|Stream|Florida|12|Escambia|033|Jay|10/19/1979||Official|Board Decision|01/01/1962|305948N|0871035W|30.9965709|-87.1763599|311921N|0871436W|31.3223912|-87.2433122
164152|Yellow River|Stream|Florida|12|Santa Rosa|113|Ward Basin|10/19/1979|04/10/2014||||303327N|0865943W|30.5574171|-86.9952423|312724N|0862005W|31.4565538|-86.3346786
166922|Billys Branch|Stream|Alabama|01|Covington|039|Laurel Hill|09/01/1989|||||305941N|0862829W|30.9946248|-86.4746721|305832N|0862758W|30.9755556|-86.4661111
166924|Little Horse Creek|Stream|Florida|12|Okaloosa|091|Oak Grove|09/01/1989|||||305709N|0863614W|30.9524043|-86.6038422|305946N|0863539W|30.9961111|-86.5941667
166925|Texas Branch|Stream|Florida|12|Holmes|059|Esto|09/01/1989|||||305735N|0854039W|30.9596267|-85.6774326|310002N|0853822W|31.0004586|-85.6393774
277625|Alligator Creek|Stream|Florida|12|Nassau|089|Callahan|10/19/1979|||||303503N|0814500W|30.5841252|-81.7501039|303713N|0815645W|30.6202353|-81.9459448
277626|Bayou George Creek|Stream|Florida|12|Bay|005|Bayhead|08/28/1987||Official|Board Decision|01/01/1982|301719N|0853404W|30.2885316|-85.5677034|301448N|0852336W|30.2465868|-85.3932534
277627|Big Blue Lake|Reservoir|Florida|12|Washington|133|Red Head|10/19/1979|||||302758N|0854509W|30.4660286|-85.7524314|||0.0|0.0
277628|Black Betsy Keys|Island|Florida|12|Monroe|087|Madeira Bay|10/19/1979|||||250741N|0803829W|25.1281803|-80.641452|||0.0|0.0
277629|Black Prong|Stream|Florida|12|Levy|075|Bronson SW|10/19/1979|||||291730N|0823729W|29.2916347|-82.624831|291756N|0823609W|29.2988573|-82.6026081
277630|Buzzard Bay Swamp|Swamp|Florida|12|Calhoun|013|Broad Branch|10/19/1979|||||302226N|0851648W|30.3738065|-85.2799202|||0.0|0.0
277631|Chuluota|Populated Place|Florida|12|Seminole|117|Geneva|10/19/1979|06/07/2022||||283831N|0810724W|28.6419419|-81.123396|||0.0|0.0
277633|Cypress Lake|Lake|Florida|12|Hillsborough|057|Odessa|10/19/1979|02/20/2019||||280732N|0823353W|28.1255402|-82.5647477|||0.0|0.0
277634|Dade-Broward Levee|Levee|Florida|12|Miami-Dade|086|Hialeah SW|10/19/1979|||||254859N|0802700W|25.8164872|-80.4500549|||0.0|0.0
277636|East Bay|Bay|Florida|12|Santa Rosa|113|Garcon Point|10/19/1979|03/24/2023||||302812N|0870038W|30.4701118|-87.0104278|||0.0|0.0
277637|Halifax River|Stream|Florida|12|Volusia|127|New Smyrna Beach|10/19/1979|05/12/2014||||290433N|0805458W|29.0758179|-80.9161646|292424N|0810558W|29.4066436|-81.0995023
277638|Hawkins Creek|Stream|Florida|12|Santa Rosa|113|McLellan|10/19/1979|||||305804N|0865918W|30.9676826|-86.988298|305954N|0870135W|30.9982374|-87.0263549
277639|Hog Pen Slough|Swamp|Florida|12|Osceola|097|Holopaw SE|10/19/1979|07/07/2022||||280642N|0810635W|28.1116663|-81.1096663|||0.0|0.0
277642|Saint Joes Creek|Stream|Florida|12|Pinellas|103|Seminole|10/19/1979||Official|Board Decision|01/01/1977|275013N|0824509W|27.8369693|-82.7526012|274846N|0824012W|27.8128036|-82.6700993
277643|John H McIntosh Grant|Civil|Florida|12|Volusia|127|Maytown|10/19/1979|||||284841N|0805411W|28.8113797|-80.9031104|||0.0|0.0
277644|Kissimmee River|Stream|Florida|12|Okeechobee|093|Okeechobee|10/19/1979|||||270834N|0805116W|27.1428273|-80.8545058|275925N|0812244W|27.9902983|-81.3789606
277645|Limestone Branch|Stream|Florida|12|Holmes|059|Caryville|10/19/1979|||||305135N|0854534W|30.85963|-85.7593766|305450N|0854535W|30.9137946|-85.7596547
277646|Long Branch|Stream|Florida|12|Bay|005|Bayhead|10/19/1979|||||302060N|0853543W|30.3499193|-85.5952049|302308N|0853552W|30.3854742|-85.5977054
277647|Long Lake|Lake|Florida|12|Putnam|107|Putnam Hall|10/19/1979|02/14/2019||||294020N|0815942W|29.6722085|-81.995035|||0.0|0.0
277648|Mills Creek|Stream|Florida|12|Nassau|089|Italia|10/19/1979||Official|Board Decision|01/01/1971|303460N|0814112W|30.5832923|-81.6867675|304031N|0815649W|30.6752348|-81.9470565
277649|Pate Lake|Lake|Florida|12|Washington|133|Poplar Head|10/19/1979|03/07/2019|Official|Board Decision|01/01/1969|304128N|0854449W|30.6911179|-85.7469264|||0.0|0.0
277650|Peace Creek|Stream|Florida|12|Polk|105|Bartow|10/19/1979|07/09/2015||||275505N|0814917W|27.9180807|-81.8214703|275524N|0814226W|27.9233579|-81.7073015
277651|Pole Cypress Ponds|Swamp|Florida|12|Osceola|097|Lake Marian NE|10/19/1979|07/07/2022||||275454N|0810709W|27.9150275|-81.1192658|||0.0|0.0
277652|Punta Rassa Cove|Bay|Florida|12|Lee|071|Sanibel|10/19/1979|04/23/2021|Official|Board Decision|01/01/1975|262947N|0820007W|26.4963699|-82.0019592|||0.0|0.0
277653|Rim Canal|Canal|Florida|12|Polk|105|Lake Arbuckle NE|10/19/1979|||||273928N|0812019W|27.6578085|-81.3386824|||0.0|0.0
277654|Stumpy Strand|Swamp|Florida|12|Collier|021|Catherine Island|10/19/1979|02/04/2023||||261119N|0812913W|26.1885187|-81.4870045|||0.0|0.0
277655|Swift Creek|Stream|Florida|12|Union|125|Ellisville|10/19/1979|11/16/2007||||300151N|0823203W|30.0308333|-82.5341667|300404N|0822304W|30.0677778|-82.3844444
277656|Water Keys|Island|Florida|12|Monroe|087|Content Keys|10/19/1979|||||244549N|0812708W|24.7634731|-81.452306|||0.0|0.0
277657|West Pittman Creek|Stream|Florida|12|Holmes|059|Hobbs Crossroads|10/19/1979|||||305342N|0855239W|30.8949062|-85.8774349|305131N|0855941W|30.8585182|-85.9946595
277658|Lake Winnemisett|Lake|Florida|12|Volusia|127|DeLand|10/19/1979|02/13/2019||||290123N|0811500W|29.0231468|-81.2500308|||0.0|0.0
277659|York Branch|Stream|Florida|12|Glades|043|Goodno|10/19/1979|||||265142N|0811951W|26.861728|-81.3309066|265401N|0812118W|26.9003377|-81.3550737
277660|Abbott Lake|Lake|Florida|12|Volusia|127|Lake Helen|10/19/1979|02/13/2019||||285301N|0811415W|28.8836698|-81.2374585|||0.0|0.0
277664|Able Canal|Canal|Florida|12|Lee|071|Alva SW|10/19/1979|||||263656N|0813842W|26.615628|-81.6450809|||0.0|0.0
277665|Acline|Populated Place|Florida|12|Charlotte|015|Punta Gorda|10/19/1979|06/07/2022||||265306N|0820054W|26.885063|-82.0150882|||0.0|0.0
277666|Acorn Fish Lake|Lake|Florida|12|Volusia|127|Osteen|10/19/1979|02/13/2019||||285224N|0810826W|28.8732534|-81.1404409|||0.0|0.0
277667|Acorn Lake|Lake|Florida|12|Franklin|037|Jackson River|10/19/1979|02/13/2019||||294605N|0850123W|29.767976|-85.0230023|||0.0|0.0
277668|Acorn Lake Creek|Stream|Florida|12|Franklin|037|Jackson River|10/19/1979|||||294602N|0850147W|29.7671548|-85.0296339|294547N|0850048W|29.7630556|-85.0133333
277670|Acosta Creek|Stream|Florida|12|Putnam|107|Satsuma|10/19/1979|||||293011N|0814037W|29.5030262|-81.6770246|293054N|0813718W|29.5149709|-81.621745
277671|Lake Ada|Lake|Florida|12|Polk|105|Dundee|10/19/1979|02/14/2019||||280039N|0813648W|28.0107219|-81.6132487|||0.0|0.0
277672|Lake Ada|Lake|Florida|12|Seminole|117|Sanford|10/19/1979|02/13/2019||||284609N|0811711W|28.7691995|-81.2863644|||0.0|0.0
277674|Lake Adair|Lake|Florida|12|Orange|095|Orlando West|10/19/1979|02/13/2019||||283335N|0812327W|28.5597312|-81.3907992|||0.0|0.0
277676|Adams Hammock|Island|Florida|12|Marion|083|Dunnellon SE|10/19/1979|||||290330N|0821706W|29.0583112|-82.2850956|||0.0|0.0
277677|Adams Key|Island|Florida|12|Miami-Dade|086|Elliott Key|10/19/1979|12/03/2014||||252400N|0801358W|25.4001125|-80.2328289|||0.0|0.0
277678|Adams Lake|Lake|Florida|12|Lake|069|Sorrento|10/19/1979|02/13/2019||||284747N|0813316W|28.7964385|-81.554333|||0.0|0.0
277679|Adams Lake|Lake|Florida|12|Dixie|029|Cross City East|10/19/1979|02/20/2019||||294322N|0830359W|29.7228884|-83.0663978|||0.0|0.0
277680|Adams Lake|Lake|Florida|12|Lafayette|067|Mallory Swamp NE|10/19/1979|04/06/2023||||295845N|0830218W|29.9792471|-83.0382545|||0.0|0.0
277681|Adams Mill Creek|Stream|Florida|12|Okaloosa|091|Floridale|10/19/1979|||||304415N|0864622W|30.7374117|-86.772735|304320N|0864533W|30.7222222|-86.7591667
277682|Adams Mill Creek|Stream|Florida|12|Walton|131|New Harmony|10/19/1979|||||304719N|0861940W|30.7885207|-86.3277245|304611N|0861821W|30.7697222|-86.3058333
277683|Adams Pond|Lake|Florida|12|Walton|131|Gaskin|10/19/1979|||||305815N|0861127W|30.9707368|-86.1907759|||0.0|0.0
277684|Adams Pond|Lake|Florida|12|Taylor|123|Warrior Swamp|10/19/1979|02/16/2019||||295542N|0833439W|29.9284655|-83.5775412|||0.0|0.0
277685|Adams Spring|Swamp|Florida|12|Hamilton|047|Ellaville|10/19/1979|04/24/2020||||302554N|0831152W|30.4317091|-83.197805|||0.0|0.0
277686|Adams Spring Branch|Stream|Florida|12|Santa Rosa|113|Harold|10/19/1979|||||304210N|0865413W|30.7026906|-86.9035726|304353N|0865534W|30.7313889|-86.9261111
277687|Adamsville|Populated Place|Florida|12|Hillsborough|057|Gibsonton|10/19/1979|06/07/2022||||274853N|0822302W|27.8147489|-82.383982|||0.0|0.0
277689|Lake Addah|Lake|Florida|12|Orange|095|Winter Garden|10/19/1979|02/13/2019||||283633N|0813027W|28.609303|-81.5075359|||0.0|0.0
277690|Addison Bay|Bay|Florida|12|Collier|021|Marco Island|10/19/1979|03/24/2023||||255756N|0814012W|25.9655673|-81.6699362|||0.0|0.0
277692|Addison Point|Cape|Florida|12|Brevard|009|Titusville|10/19/1979|||||283205N|0804653W|28.5347213|-80.7814427|||0.0|0.0
277693|Lake Adelaide|Lake|Florida|12|Highlands|055|Frostproof|10/19/1979|02/14/2019||||273825N|0813155W|27.6403074|-81.5319853|||0.0|0.0
277694|Lake Adelaide|Lake|Florida|12|Seminole|117|Casselberry|10/19/1979|02/13/2019||||283959N|0812155W|28.6664877|-81.365385|||0.0|0.0
277695|Adeline Bay|Swamp|Florida|12|Hardee|049|Sweetwater|10/19/1979|02/14/2019||||272535N|0814149W|27.4262863|-81.6969623|||0.0|0.0
277697|Africa Bayou|Stream|Florida|12|Wakulla|129|Sprague Island|10/19/1979|||||300658N|0840930W|30.1160393|-84.1582244|300716N|0840953W|30.1211111|-84.1647222
277698|Lake Agnes|Lake|Florida|12|Polk|105|Polk City|10/19/1979|04/06/2023||||281007N|0814908W|28.1686776|-81.8188367|||0.0|0.0
277702|Rock Creek|Stream|Florida|12|Sarasota|115|Englewood|10/19/1979||Official|Board Decision|01/01/1975|265541N|0822034W|26.9281178|-82.3428731|265958N|0821814W|26.9994444|-82.3038889
277705|Airplane Island|Island|Florida|12|Collier|021|Catherine Island|10/19/1979|||||261037N|0812352W|26.1770322|-81.3978558|||0.0|0.0
277706|Airport Canal|Canal|Florida|12|Dixie|029|Eugene|10/19/1979|||||293560N|0830641W|29.5999542|-83.1115187|||0.0|0.0
277708|Ajay Lake|Lake|Florida|12|Osceola|097|Narcoossee|10/19/1979|02/14/2019||||282026N|0811322W|28.3404862|-81.2227937|||0.0|0.0
277709|Akins Bay|Swamp|Florida|12|Volusia|127|Daytona Beach SW|10/19/1979|02/13/2019||||290011N|0810835W|29.0029756|-81.143188|||0.0|0.0
277710|Akins Bay Slough|Gut|Florida|12|Volusia|127|Lake Helen|10/19/1979|||||285810N|0810923W|28.9694313|-81.1564481|||0.0|0.0
277711|Akins Pond|Swamp|Florida|12|Sumter|119|Saint Catherine|10/19/1979|04/06/2023||||283652N|0820756W|28.6144492|-82.13226|||0.0|0.0
277712|Akins Sawgrass|Swamp|Florida|12|Sumter|119|Webster|10/19/1979|04/06/2023||||283338N|0820424W|28.5605812|-82.0733248|||0.0|0.0
277714|Alabama Hollow|Valley|Florida|12|Santa Rosa|113|Holley|10/19/1979|09/04/2015||||302913N|0865739W|30.486858|-86.9607918|303110N|0865609W|30.5193572|-86.935791
277716|Alachua Sink|Basin|Florida|12|Alachua|001|Micanopy|10/19/1979|06/06/2015||||293616N|0821757W|29.6043144|-82.2991984|||0.0|0.0
277717|Aladdin City|Populated Place|Florida|12|Miami-Dade|086|Goulds|10/19/1979|06/07/2022||||253414N|0802715W|25.570663|-80.4542226|||0.0|0.0
277718|Alafia River|Stream|Florida|12|Hillsborough|057|Gibsonton|10/19/1979|06/01/2010||||275111N|0822401W|27.8530809|-82.4003712|275146N|0820820W|27.8628042|-82.1389769
277719|Alagood Lake|Lake|Florida|12|Jefferson|065|Monticello NE|10/19/1979|02/19/2019||||303851N|0834848W|30.6473634|-83.8134176|||0.0|0.0
277720|Alameda|Populated Place|Florida|12|Miami-Dade|086|Hialeah|10/19/1979|06/07/2022||||254548N|0801751W|25.7634331|-80.297551|||0.0|0.0
277722|Alaqua Bayou|Bay|Florida|12|Walton|131|Freeport|10/19/1979|10/31/2014||||302909N|0861215W|30.4859036|-86.2040691|||0.0|0.0
277724|Alaqua Creek|Stream|Florida|12|Walton|131|Freeport|10/19/1979|||||302940N|0861155W|30.4943631|-86.1985533|304227N|0861741W|30.7074124|-86.2946679
277726|Alaqua Point|Cape|Florida|12|Walton|131|Freeport|10/19/1979|||||302832N|0861402W|30.4754749|-86.2338321|||0.0|0.0
277727|Lake Alaqua|Reservoir|Florida|12|Walton|131|De Funiak Springs West|10/19/1979|03/02/2019||||304350N|0861218W|30.7305637|-86.2050062|||0.0|0.0
277728|Alberson Stretch|Channel|Florida|12|Holmes|059|Izagora|10/19/1979|||||305860N|0854938W|30.9832366|-85.8271564|||0.0|0.0
277729|Alberta Lake|Lake|Florida|12|Leon|073|Miccosukee|10/19/1979|10/28/2020||||303635N|0840351W|30.609843|-84.0642032|||0.0|0.0
277730|Albright Key|Island|Florida|12|Lee|071|Wulfert|08/28/1987||Official|Board Decision|01/01/1982|262905N|0821047W|26.484802|-82.1798171|||0.0|0.0
277731|Alcoma|Populated Place|Florida|12|Polk|105|Hesperides|10/19/1979|06/07/2022||||275342N|0812856W|27.8950239|-81.4822964|||0.0|0.0
277732|Lake Alcyone|Lake|Florida|12|Hamilton|047|Pinetta|10/19/1979|04/24/2020||||303721N|0831512W|30.622463|-83.2534539|||0.0|0.0
277733|Lake Alden|Lake|Florida|12|Orange|095|Apopka|10/19/1979|07/16/2022||||284155N|0813208W|28.6984921|-81.5355472|||0.0|0.0
277734|Alder Pond|Lake|Florida|12|Walton|131|Darlington|10/19/1979|05/17/2023||||305448N|0860303W|30.9132384|-86.0507863|||0.0|0.0
277735|Alderene Park|Populated Place|Florida|12|Seminole|117|Sanford|10/19/1979|06/07/2022||||284841N|0812156W|28.8113813|-81.3656228|||0.0|0.0
277736|Alderman Creek|Stream|Florida|12|Hillsborough|057|Fort Lonesome|10/19/1979|||||274125N|0820803W|27.6903099|-82.1342549|273836N|0820500W|27.6433672|-82.0834207
277738|Alex Bay|Swamp|Florida|12|Washington|133|Wausau|10/19/1979|03/07/2019||||304225N|0853349W|30.7068527|-85.5636634|||0.0|0.0
277739|Alexander Island|Island|Florida|12|Volusia|127|Sanford|10/19/1979|||||285105N|0812108W|28.8513798|-81.3522885|||0.0|0.0
277741|Alford|Populated Place|Florida|12|Jackson|063|Alford|10/19/1979|06/07/2022||||304138N|0852332W|30.6938049|-85.3921505|||0.0|0.0
277742|Alford Arm|Lake|Florida|12|Leon|073|Lafayette|10/19/1979|02/15/2019||||302633N|0840858W|30.4425455|-84.1495364|||0.0|0.0
277743|Alfred Branch|Stream|Florida|12|Jefferson|065|Lloyd|10/19/1979|||||302935N|0840014W|30.4929798|-84.0037789|303008N|0840102W|30.5021462|-84.0171128
277744|Lake Alfred|Lake|Florida|12|Polk|105|Winter Haven|10/19/1979|07/09/2021||||280558N|0814438W|28.0994483|-81.7437892|||0.0|0.0
277745|Alice Creek|Stream|Florida|12|Walton|131|Portland|10/19/1979|||||303530N|0860946W|30.5915823|-86.1627194|303611N|0860641W|30.6029706|-86.1113291
277746|Lake Alice|Lake|Florida|12|Hillsborough|057|Odessa|10/19/1979|06/19/2019||||280756N|0823615W|28.1323078|-82.6041859|||0.0|0.0
277747|Lake Alice|Lake|Florida|12|Lake|069|Lady Lake|10/19/1979|07/09/2021||||285541N|0815444W|28.9279508|-81.9122314|||0.0|0.0
277748|Lake Alice|Lake|Florida|12|Alachua|001|Gainesville East|10/19/1979|07/16/2022||||293834N|0822140W|29.6429074|-82.3612348|||0.0|0.0
277749|Lake Alice|Swamp|Florida|12|Polk|105|Winter Haven|10/19/1979|07/07/2022||||280518N|0813756W|28.0883882|-81.6321057|||0.0|0.0
